Product,Division,Product Category,Customer,Country,Sales Org,Calendar Year/Month,Calendar Year,Calendar month, Cost of Goods , Discount , Net Sales , Revenue ,Sales Quantity
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,SEP 2008,2008,9, $25.00 , $1.67 , $54.16 , $55.83 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,OCT 2008,2008,10, $25.00 , $1.67 , $54.16 , $55.83 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JAN 2009,2009,1, $25.00 , $1.70 , $54.96 , $56.66 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,FEB 2009,2009,2, $25.00 , $1.70 , $54.96 , $56.66 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,APR 2009,2009,4, $25.00 , $1.70 , $54.96 , $56.66 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JAN 2010,2010,1, $25.00 , $1.72 , $55.79 , $57.51 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,MAR 2010,2010,3, $25.00 , $1.72 , $55.79 , $57.51 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,OCT 2010,2010,10, $25.00 , $1.72 , $55.79 , $57.51 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,NOV 2010,2010,11, $25.00 , $1.72 , $55.79 , $57.51 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,DEC 2010,2010,12, $25.00 , $1.72 , $55.79 , $57.51 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,MAR 2011,2011,3, $25.00 , $1.75 , $56.62 , $58.37 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,AUG 2011,2011,8, $25.00 , $1.75 , $56.62 , $58.37 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,OCT 2011,2011,10, $25.00 , $1.75 , $56.62 , $58.37 ,1 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,AUG 2007,2007,8, $50.00 , $3.30 , $106.71 , $110.01 ,2 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,MAR 2009,2009,3, $50.00 , $3.39 , $109.93 , $113.32 ,2 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,OCT 2009,2009,10, $50.00 , $3.39 , $109.93 , $113.32 ,2 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,FEB 2010,2010,2, $50.00 , $3.45 , $111.57 , $115.02 ,2 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,AUG 2010,2010,8, $50.00 , $3.45 , $111.57 , $115.02 ,2 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,FEB 2011,2011,2, $50.00 , $3.50 , $113.24 , $116.74 ,2 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,APR 2011,2011,4, $50.00 , $3.50 , $113.24 , $116.74 ,2 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JUL 2007,2007,7, $75.00 , $4.96 , $160.06 , $165.01 ,3 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,SEP 2007,2007,9, $75.00 , $4.97 , $160.04 , $165.01 ,3 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,OCT 2007,2007,10, $75.00 , $4.96 , $160.06 , $165.01 ,3 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,MAY 2008,2008,5, $75.00 , $5.02 , $162.46 , $167.48 ,3 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,MAY 2009,2009,5, $75.00 , $5.10 , $164.88 , $169.98 ,3 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JUN 2009,2009,6, $75.00 , $5.10 , $164.88 , $169.98 ,3 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,SEP 2010,2010,9, $75.00 , $5.17 , $167.36 , $172.53 ,3 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JUN 2011,2011,6, $75.00 , $5.25 , $169.86 , $175.11 ,3 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,SEP 2011,2011,9, $75.00 , $5.25 , $169.86 , $175.11 ,3 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JUL 2009,2009,7, $100.00 , $6.80 , $219.84 , $226.64 ,4 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JUL 2011,2011,7, $100.00 , $7.00 , $226.48 , $233.48 ,4 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,MAY 2007,2007,5, $125.00 , $8.27 , $266.76 , $275.02 ,5 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JUL 2008,2008,7, $125.00 , $8.38 , $270.75 , $279.13 ,5 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,AUG 2008,2008,8, $125.00 , $8.38 , $270.75 , $279.13 ,5 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,AUG 2009,2009,8, $125.00 , $8.50 , $274.81 , $283.30 ,5 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,SEP 2009,2009,9, $125.00 , $8.50 , $274.81 , $283.30 ,5 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,APR 2010,2010,4, $125.00 , $8.63 , $278.91 , $287.55 ,5 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JUL 2010,2010,7, $150.00 , $10.35 , $334.70 , $345.05 ,6 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,APR 2007,2007,4, $175.00 , $11.55 , $373.48 , $385.03 ,7 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JUN 2007,2007,6, $175.00 , $11.57 , $373.47 , $385.03 ,7 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JUN 2008,2008,6, $175.00 , $11.73 , $379.05 , $390.78 ,7 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,MAY 2011,2011,5, $175.00 , $12.25 , $396.34 , $408.60 ,7 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,APR 2008,2008,4, $200.00 , $13.40 , $433.21 , $446.61 ,8 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,MAY 2010,2010,5, $200.00 , $13.80 , $446.27 , $460.07 ,8 
Off Road Helmet,AS,ACC,Airport Bikes,DE,Germany South,JUN 2010,2010,6, $275.00 , $18.97 , $613.63 , $632.60 ,11 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,AUG 2007,2007,8," $2,700.00 ", $148.51 ," $4,801.50 "," $4,950.00 ",1 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,MAY 2008,2008,5," $2,700.00 ", $150.73 ," $4,873.52 "," $5,024.25 ",1 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,MAR 2009,2009,3," $2,700.00 ", $152.99 ," $4,946.62 "," $5,099.61 ",1 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,SEP 2009,2009,9," $2,700.00 ", $152.99 ," $4,946.62 "," $5,099.61 ",1 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,MAR 2010,2010,3," $2,700.00 ", $155.28 ," $5,020.83 "," $5,176.11 ",1 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,JUN 2010,2010,6," $2,700.00 ", $155.28 ," $5,020.83 "," $5,176.11 ",1 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,OCT 2010,2010,10," $2,700.00 ", $155.28 ," $5,020.83 "," $5,176.11 ",1 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,APR 2011,2011,4," $2,700.00 ", $157.61 ," $5,096.14 "," $5,253.75 ",1 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,MAY 2011,2011,5," $2,700.00 ", $157.61 ," $5,096.14 "," $5,253.75 ",1 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,OCT 2011,2011,10," $2,700.00 ", $157.61 ," $5,096.14 "," $5,253.75 ",1 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,MAY 2007,2007,5," $5,400.00 ", $297.00 ," $9,603.01 "," $9,900.01 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,JUN 2008,2008,6," $5,400.00 ", $301.45 ," $9,747.04 "," $10,048.50 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,AUG 2008,2008,8," $5,400.00 ", $301.45 ," $9,747.04 "," $10,048.50 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,SEP 2008,2008,9," $5,400.00 ", $301.45 ," $9,747.04 "," $10,048.50 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,APR 2010,2010,4," $5,400.00 ", $310.57 ," $10,041.64 "," $10,352.22 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,JUL 2010,2010,7," $5,400.00 ", $310.56 ," $10,041.66 "," $10,352.22 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,SEP 2010,2010,9," $5,400.00 ", $310.56 ," $10,041.66 "," $10,352.22 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,JUN 2011,2011,6," $5,400.00 ", $315.23 ," $10,192.26 "," $10,507.49 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,JUL 2011,2011,7," $5,400.00 ", $315.22 ," $10,192.28 "," $10,507.49 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,AUG 2011,2011,8," $5,400.00 ", $315.23 ," $10,192.26 "," $10,507.49 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,SEP 2011,2011,9," $5,400.00 ", $315.22 ," $10,192.28 "," $10,507.49 ",2 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,JUN 2007,2007,6," $8,100.00 ", $445.50 ," $14,404.51 "," $14,850.01 ",3 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,JUL 2007,2007,7," $8,100.00 ", $445.50 ," $14,404.51 "," $14,850.01 ",3 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,APR 2008,2008,4," $8,100.00 ", $452.18 ," $14,620.57 "," $15,072.75 ",3 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,JUL 2008,2008,7," $8,100.00 ", $452.18 ," $14,620.57 "," $15,072.75 ",3 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,APR 2009,2009,4," $8,100.00 ", $458.97 ," $14,839.87 "," $15,298.84 ",3 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,MAY 2010,2010,5," $8,100.00 ", $465.85 ," $15,062.47 "," $15,528.32 ",3 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,APR 2007,2007,4," $10,800.00 ", $594.00 ," $19,206.02 "," $19,800.01 ",4 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,MAY 2009,2009,5," $13,500.00 ", $764.95 ," $24,733.12 "," $25,498.06 ",5 
Professional Road Bike (Campagnolo),BI,ROB,Airport Bikes,DE,Germany South,JUN 2009,2009,6," $16,200.00 ", $917.94 ," $29,679.74 "," $30,597.68 ",6 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2008,2008,2," $2,200.00 ", $133.98 ," $4,332.03 "," $4,466.00 ",1 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2008,2008,3," $2,200.00 ", $133.98 ," $4,332.03 "," $4,466.00 ",1 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2008,2008,11," $2,200.00 ", $133.98 ," $4,332.03 "," $4,466.00 ",1 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2008,2008,12," $2,200.00 ", $133.98 ," $4,332.03 "," $4,466.00 ",1 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2009,2009,3," $2,200.00 ", $136.00 ," $4,397.00 "," $4,532.99 ",1 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2009,2009,12," $2,200.00 ", $136.00 ," $4,397.00 "," $4,532.99 ",1 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2011,2011,12," $2,200.00 ", $140.10 ," $4,529.90 "," $4,670.00 ",1 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2007,2007,1," $4,400.00 ", $263.99 ," $8,536.00 "," $8,800.00 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2007,2007,2," $4,400.00 ", $263.99 ," $8,536.00 "," $8,800.00 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2007,2007,10," $4,400.00 ", $263.99 ," $8,536.00 "," $8,800.00 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2007,2007,11," $4,400.00 ", $263.99 ," $8,536.00 "," $8,800.00 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2007,2007,12," $4,400.00 ", $263.99 ," $8,536.00 "," $8,800.00 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2008,2008,1," $4,400.00 ", $267.95 ," $8,664.05 "," $8,932.01 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2008,2008,9," $4,400.00 ", $267.97 ," $8,664.04 "," $8,932.01 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2008,2008,10," $4,400.00 ", $267.97 ," $8,664.04 "," $8,932.01 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2009,2009,1," $4,400.00 ", $271.98 ," $8,794.00 "," $9,065.98 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2009,2009,2," $4,400.00 ", $271.98 ," $8,794.00 "," $9,065.98 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2009,2009,11," $4,400.00 ", $271.99 ," $8,793.99 "," $9,065.98 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2010,2010,2," $4,400.00 ", $276.06 ," $8,925.92 "," $9,201.98 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2010,2010,5," $4,400.00 ", $276.06 ," $8,925.92 "," $9,201.98 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2010,2010,10," $4,400.00 ", $276.06 ," $8,925.92 "," $9,201.98 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2010,2010,11," $4,400.00 ", $276.06 ," $8,925.92 "," $9,201.98 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,FEB 2011,2011,2," $4,400.00 ", $280.21 ," $9,059.79 "," $9,340.00 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,NOV 2011,2011,11," $4,400.00 ", $280.21 ," $9,059.79 "," $9,340.00 ",2 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2007,2007,3," $6,600.00 ", $395.99 ," $12,804.00 "," $13,200.00 ",3 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2009,2009,8," $6,600.00 ", $407.98 ," $13,191.00 "," $13,598.98 ",3 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JAN 2010,2010,1," $6,600.00 ", $414.09 ," $13,388.88 "," $13,802.97 ",3 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2010,2010,3," $6,600.00 ", $414.09 ," $13,388.88 "," $13,802.97 ",3 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2010,2010,7," $6,600.00 ", $414.09 ," $13,388.88 "," $13,802.97 ",3 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,DEC 2010,2010,12," $6,600.00 ", $414.09 ," $13,388.88 "," $13,802.97 ",3 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2011,2011,9," $6,600.00 ", $420.30 ," $13,589.70 "," $14,010.00 ",3 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2007,2007,4," $8,800.00 ", $528.00 ," $17,071.99 "," $17,599.99 ",4 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2007,2007,7," $8,800.00 ", $528.00 ," $17,071.99 "," $17,599.99 ",4 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2008,2008,7," $8,800.00 ", $535.92 ," $17,328.10 "," $17,864.02 ",4 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2009,2009,4," $8,800.00 ", $543.96 ," $17,588.01 "," $18,131.97 ",4 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2007,2007,6," $11,000.00 ", $660.00 ," $21,339.99 "," $21,999.99 ",5 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2010,2010,8," $11,000.00 ", $690.15 ," $22,314.80 "," $23,004.95 ",5 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAR 2011,2011,3," $11,000.00 ", $700.50 ," $22,649.49 "," $23,349.99 ",5 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2011,2011,8," $11,000.00 ", $700.50 ," $22,649.49 "," $23,349.99 ",5 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2007,2007,9," $13,200.00 ", $792.00 ," $25,607.99 "," $26,399.99 ",6 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2009,2009,5," $13,200.00 ", $815.94 ," $26,382.01 "," $27,197.95 ",6 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2009,2009,9," $13,200.00 ", $815.95 ," $26,382.00 "," $27,197.95 ",6 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2009,2009,10," $13,200.00 ", $815.94 ," $26,382.01 "," $27,197.95 ",6 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2010,2010,4," $13,200.00 ", $828.18 ," $26,777.76 "," $27,605.94 ",6 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,SEP 2010,2010,9," $13,200.00 ", $828.18 ," $26,777.76 "," $27,605.94 ",6 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,OCT 2011,2011,10," $13,200.00 ", $840.61 ," $27,179.39 "," $28,019.99 ",6 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2007,2007,5," $17,600.00 "," $1,055.99 "," $34,143.99 "," $35,199.99 ",8 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2009,2009,6," $17,600.00 "," $1,087.93 "," $35,176.01 "," $36,263.94 ",8 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2007,2007,8," $19,800.00 "," $1,188.00 "," $38,411.98 "," $39,599.99 ",9 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2011,2011,7," $19,800.00 "," $1,260.92 "," $40,769.07 "," $42,029.99 ",9 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,AUG 2008,2008,8," $22,000.00 "," $1,339.81 "," $43,320.23 "," $44,660.04 ",10 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2008,2008,5," $24,200.00 "," $1,473.78 "," $47,652.26 "," $49,126.04 ",11 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2008,2008,4," $26,400.00 "," $1,607.77 "," $51,984.27 "," $53,592.05 ",12 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUL 2009,2009,7," $26,400.00 "," $1,631.88 "," $52,764.03 "," $54,395.91 ",12 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,MAY 2011,2011,5," $30,800.00 "," $1,961.41 "," $63,418.57 "," $65,379.98 ",14 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,APR 2011,2011,4," $33,000.00 "," $2,101.50 "," $67,948.48 "," $70,049.98 ",15 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2011,2011,6," $41,800.00 "," $2,661.90 "," $86,068.08 "," $88,729.97 ",19 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2008,2008,6," $50,600.00 "," $3,081.55 "," $99,636.54 "," $102,718.09 ",23 
Professional Road Bike (Shimano),BI,ROB,Airport Bikes,DE,Germany South,JUN 2010,2010,6," $50,600.00 "," $3,174.68 "," $102,648.10 "," $105,822.78 ",23 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,FEB 2007,2007,2," $2,350.00 ", $138.60 ," $4,481.41 "," $4,620.00 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2007,2007,8," $2,350.00 ", $138.60 ," $4,481.41 "," $4,620.00 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2007,2007,9," $2,350.00 ", $138.60 ," $4,481.41 "," $4,620.00 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2007,2007,10," $2,350.00 ", $138.60 ," $4,481.41 "," $4,620.00 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2008,2008,3," $2,350.00 ", $140.68 ," $4,548.61 "," $4,689.29 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2008,2008,4," $2,350.00 ", $140.68 ," $4,548.61 "," $4,689.29 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2008,2008,7," $2,350.00 ", $140.68 ," $4,548.61 "," $4,689.29 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2009,2009,3," $2,350.00 ", $142.78 ," $4,616.85 "," $4,759.64 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2009,2009,9," $2,350.00 ", $142.78 ," $4,616.85 "," $4,759.64 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2009,2009,10," $2,350.00 ", $142.78 ," $4,616.85 "," $4,759.64 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2010,2010,10," $2,350.00 ", $144.94 ," $4,686.10 "," $4,831.04 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAR 2011,2011,3," $2,350.00 ", $147.11 ," $4,756.39 "," $4,903.50 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2011,2011,8," $2,350.00 ", $147.11 ," $4,756.39 "," $4,903.50 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2011,2011,9," $2,350.00 ", $147.11 ," $4,756.39 "," $4,903.50 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,OCT 2011,2011,10," $2,350.00 ", $147.11 ," $4,756.39 "," $4,903.50 ",1 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2007,2007,4," $4,700.00 ", $277.20 ," $8,962.80 "," $9,240.01 ",2 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2007,2007,7," $4,700.00 ", $277.19 ," $8,962.82 "," $9,240.01 ",2 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2008,2008,8," $4,700.00 ", $281.35 ," $9,097.24 "," $9,378.59 ",2 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,SEP 2008,2008,9," $4,700.00 ", $281.36 ," $9,097.22 "," $9,378.59 ",2 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2009,2009,5," $4,700.00 ", $285.58 ," $9,233.69 "," $9,519.27 ",2 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,AUG 2009,2009,8," $4,700.00 ", $285.57 ," $9,233.70 "," $9,519.27 ",2 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUL 2010,2010,7," $4,700.00 ", $289.87 ," $9,372.21 "," $9,662.08 ",2 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2011,2011,4," $4,700.00 ", $294.21 ," $9,512.78 "," $9,806.99 ",2 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2007,2007,5," $7,050.00 ", $415.80 ," $13,444.21 "," $13,860.01 ",3 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2008,2008,5," $7,050.00 ", $422.03 ," $13,645.85 "," $14,067.88 ",3 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,APR 2010,2010,4," $7,050.00 ", $434.80 ," $14,058.32 "," $14,493.12 ",3 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2007,2007,6," $9,400.00 ", $554.39 ," $17,925.62 "," $18,480.01 ",4 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2008,2008,6," $9,400.00 ", $562.70 ," $18,194.47 "," $18,757.18 ",4 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2009,2009,6," $9,400.00 ", $571.14 ," $18,467.40 "," $19,038.54 ",4 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,MAY 2011,2011,5," $9,400.00 ", $588.42 ," $19,025.56 "," $19,613.98 ",4 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2011,2011,6," $9,400.00 ", $588.42 ," $19,025.56 "," $19,613.98 ",4 
Professional Road Bike (SRAM),BI,ROB,Airport Bikes,DE,Germany South,JUN 2010,2010,6," $11,750.00 ", $724.67 ," $23,430.53 "," $24,155.20 ",5 
Professional Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,JAN 2007,2007,1," $1,500.00 ", $105.61 ," $3,414.39 "," $3,519.99 ",1 
Professional Touring Bike (black),BI,TOU,Airport Bikes,DE,Germany South,FEB 2007,2007,2," $1,500.00 ", $105.61 ," $3,414.39 "," $3,519.99 ",1 
