alternate,bar,weekend,hungry,price,raining,reservation,type,wait_estimate,will_wait,average_spending
No,No,Yes,Yes,$,No,Yes,French,0-10,Yes,112
No,No,Yes,No,$,Yes,No,Thai,0-10,Yes,26
No,Yes,Yes,Yes,$,Yes,No,Italian,30-60,Yes,26
Yes,No,Yes,Yes,$,No,No,Italian,0-10,Yes,80
No,No,Yes,No,$,Yes,No,Burger,10-30,Yes,85
Yes,No,Yes,Yes,$,Yes,No,Thai,0-10,Yes,26
No,Yes,No,No,$$,No,Yes,Thai,>60,No,0
Yes,No,No,Yes,$$,No,No,Italian,0-10,Yes,24
No,No,Yes,Yes,$,Yes,No,Thai,10-30,No,0
No,No,Yes,Yes,$,No,No,Italian,>60,No,0
Yes,Yes,Yes,Yes,$,No,No,Burger,10-30,No,0
No,Yes,No,Yes,$,No,No,Italian,>60,No,0
No,No,Yes,Yes,$,Yes,No,Burger,10-30,Yes,56
No,No,Yes,No,$,No,No,Burger,10-30,Yes,175
Yes,Yes,Yes,Yes,$$,No,No,Italian,0-10,No,0
No,Yes,No,Yes,$$,No,No,French,0-10,Yes,241
No,Yes,Yes,No,$,No,No,Burger,10-30,Yes,26
Yes,Yes,Yes,No,$$,Yes,Yes,Burger,>60,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,304
Yes,No,No,No,$,No,No,Burger,0-10,Yes,20
No,No,Yes,No,$$,Yes,No,Burger,>60,No,0
No,No,No,Yes,$,No,No,Italian,0-10,Yes,239
No,No,No,Yes,$$,Yes,Yes,Burger,30-60,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Italian,>60,No,0
No,Yes,No,No,$$,No,Yes,Italian,>60,No,0
No,Yes,Yes,Yes,$,No,No,French,10-30,Yes,230
Yes,Yes,Yes,Yes,$$,No,No,Burger,0-10,Yes,394
Yes,Yes,No,Yes,$,No,No,Italian,>60,No,0
Yes,No,Yes,No,$,No,No,Italian,0-10,Yes,244
Yes,No,Yes,Yes,$$,Yes,No,Burger,10-30,Yes,31
Yes,No,No,Yes,$$,No,Yes,French,10-30,No,0
No,No,Yes,Yes,$$,No,No,Italian,>60,No,0
Yes,No,Yes,Yes,$,Yes,No,Italian,>60,No,0
No,Yes,Yes,No,$,No,No,French,10-30,Yes,92
No,Yes,No,Yes,$,Yes,Yes,Thai,>60,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Thai,30-60,Yes,262
Yes,Yes,No,Yes,$$,No,No,Burger,30-60,No,0
Yes,Yes,Yes,No,$$,No,No,Thai,30-60,Yes,31
No,No,Yes,Yes,$$$,No,Yes,Italian,30-60,Yes,583
Yes,No,Yes,Yes,$,Yes,No,Italian,10-30,Yes,26
Yes,No,Yes,Yes,$,No,No,Italian,30-60,Yes,26
Yes,Yes,Yes,Yes,$$,Yes,No,French,>60,No,0
Yes,Yes,Yes,No,$$,No,Yes,Burger,10-30,Yes,86
Yes,Yes,Yes,Yes,$$,No,Yes,Thai,10-30,No,0
No,Yes,Yes,Yes,$$,Yes,No,Italian,0-10,Yes,200
No,No,No,Yes,$$,Yes,No,Italian,0-10,Yes,522
No,Yes,No,No,$,Yes,No,Burger,10-30,Yes,145
Yes,No,Yes,No,$$,No,No,Burger,30-60,Yes,310
Yes,Yes,Yes,Yes,$,Yes,No,Burger,30-60,Yes,234
Yes,No,No,No,$$,No,Yes,Italian,10-30,Yes,24
No,Yes,No,Yes,$$,No,Yes,Burger,>60,Yes,24
Yes,Yes,No,No,$,Yes,No,Thai,30-60,No,0
Yes,No,Yes,Yes,$,No,No,Thai,30-60,Yes,93
Yes,No,Yes,Yes,$,No,No,Burger,30-60,Yes,344
No,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,26
Yes,No,Yes,Yes,$,Yes,No,Burger,30-60,Yes,96
No,Yes,Yes,No,$,No,No,Italian,0-10,Yes,90
Yes,Yes,Yes,No,$,Yes,No,Italian,10-30,Yes,34
No,No,No,Yes,$,Yes,No,Burger,0-10,Yes,151
No,Yes,No,Yes,$,No,No,Italian,30-60,Yes,105
No,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,359
Yes,No,Yes,No,$,No,No,Italian,>60,No,0
Yes,Yes,Yes,Yes,$$,No,No,Burger,>60,No,0
No,Yes,Yes,Yes,$$,Yes,No,Burger,10-30,Yes,31
No,Yes,Yes,No,$$$,Yes,Yes,Italian,0-10,Yes,39
Yes,Yes,No,Yes,$,Yes,Yes,Italian,>60,No,0
Yes,No,No,No,$$,Yes,Yes,Thai,10-30,Yes,24
No,No,Yes,No,$,Yes,No,Burger,0-10,Yes,281
Yes,No,Yes,No,$,Yes,No,Burger,0-10,Yes,26
Yes,Yes,Yes,No,$,No,No,Italian,30-60,Yes,189
Yes,No,Yes,No,$,Yes,Yes,Thai,>60,No,0
Yes,No,Yes,Yes,$,No,No,Italian,30-60,Yes,86
No,No,Yes,Yes,$$,Yes,No,Thai,30-60,No,0
Yes,Yes,No,Yes,$$,Yes,No,Italian,0-10,Yes,130
Yes,No,No,No,$$$,No,Yes,Burger,10-30,Yes,30
No,No,No,Yes,$$,Yes,No,Thai,0-10,Yes,265
No,Yes,Yes,Yes,$$,Yes,Yes,Burger,0-10,Yes,31
Yes,Yes,No,Yes,$,No,No,Burger,10-30,No,0
Yes,Yes,Yes,No,$$,No,No,Burger,0-10,Yes,217
Yes,Yes,Yes,Yes,$$,Yes,Yes,Italian,10-30,Yes,103
Yes,Yes,Yes,No,$,Yes,No,Italian,30-60,Yes,26
No,Yes,No,Yes,$$,No,Yes,Italian,10-30,Yes,24
No,No,No,No,$,Yes,No,Burger,>60,No,0
No,No,Yes,No,$,Yes,No,French,30-60,No,0
Yes,Yes,No,Yes,$$,No,No,Burger,>60,No,0
Yes,Yes,No,Yes,$$,Yes,No,Italian,0-10,Yes,24
Yes,No,No,Yes,$$$,Yes,Yes,Thai,>60,Yes,30
Yes,Yes,No,No,$$,No,No,Burger,0-10,No,0
No,Yes,No,Yes,$,No,No,Burger,>60,No,0
No,No,Yes,Yes,$,Yes,Yes,Italian,>60,No,0
Yes,Yes,Yes,Yes,$,No,No,Italian,>60,No,0
No,Yes,Yes,Yes,$$,Yes,Yes,Burger,>60,No,0
Yes,No,No,Yes,$,Yes,No,Burger,>60,No,0
Yes,No,Yes,No,$$,No,Yes,Burger,>60,Yes,208
No,No,Yes,No,$,Yes,No,French,>60,No,0
Yes,No,No,No,$$,Yes,Yes,Italian,>60,No,0
Yes,No,Yes,Yes,$,Yes,No,Italian,30-60,Yes,284
No,Yes,No,Yes,$,No,No,Italian,30-60,Yes,245
Yes,Yes,Yes,Yes,$,Yes,No,French,0-10,Yes,26
Yes,Yes,Yes,No,$,Yes,No,Burger,30-60,Yes,604
No,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,26
Yes,Yes,No,No,$$,Yes,No,Burger,>60,No,0
No,No,Yes,Yes,$,No,No,Burger,30-60,No,0
Yes,Yes,No,No,$$,Yes,No,Italian,10-30,Yes,178
No,Yes,Yes,Yes,$$$,No,Yes,Italian,10-30,Yes,39
No,Yes,Yes,Yes,$$,Yes,Yes,French,0-10,Yes,31
No,Yes,No,No,$,No,No,Italian,0-10,No,0
Yes,Yes,Yes,No,$$,No,No,Italian,0-10,Yes,135
No,No,Yes,Yes,$,Yes,Yes,Italian,>60,No,0
No,Yes,Yes,No,$,Yes,No,Italian,30-60,Yes,50
No,Yes,No,Yes,$,Yes,No,Italian,0-10,Yes,172
No,Yes,Yes,Yes,$,No,No,Burger,30-60,Yes,26
No,Yes,Yes,No,$$,Yes,Yes,Italian,>60,Yes,462
Yes,Yes,Yes,Yes,$,No,No,French,10-30,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Italian,30-60,Yes,26
Yes,No,Yes,Yes,$,No,No,Italian,>60,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Italian,10-30,Yes,49
Yes,No,No,No,$,Yes,No,Italian,10-30,Yes,34
Yes,No,Yes,Yes,$,Yes,Yes,Burger,0-10,Yes,167
Yes,Yes,Yes,Yes,$,No,No,Italian,>60,No,0
No,Yes,Yes,Yes,$$,Yes,Yes,Italian,0-10,Yes,65
Yes,Yes,Yes,No,$$,No,No,Burger,30-60,Yes,361
No,No,No,No,$,Yes,No,Italian,>60,No,0
No,Yes,Yes,No,$$$,No,Yes,Italian,0-10,Yes,39
Yes,Yes,Yes,Yes,$,No,No,Burger,10-30,No,0
No,Yes,No,Yes,$$,Yes,No,French,30-60,Yes,354
No,No,Yes,Yes,$,No,No,Burger,>60,No,0
No,No,Yes,No,$$,No,No,Burger,30-60,No,0
No,Yes,No,No,$,Yes,No,Italian,>60,No,0
Yes,No,No,No,$,No,No,Italian,10-30,Yes,58
Yes,Yes,Yes,Yes,$,Yes,No,Italian,0-10,Yes,26
Yes,No,Yes,Yes,$,Yes,Yes,Italian,30-60,Yes,254
Yes,Yes,No,No,$$,Yes,Yes,Burger,30-60,No,0
Yes,No,Yes,Yes,$$,No,Yes,French,>60,No,0
Yes,Yes,Yes,No,$,No,No,Thai,30-60,Yes,26
Yes,Yes,Yes,Yes,$,No,No,Burger,0-10,Yes,26
Yes,No,Yes,Yes,$,Yes,No,Thai,30-60,Yes,26
Yes,No,Yes,No,$,No,No,Thai,10-30,Yes,204
Yes,No,Yes,No,$,Yes,No,Burger,0-10,Yes,152
No,No,No,No,$,No,No,Italian,10-30,Yes,307
Yes,No,Yes,No,$$,Yes,No,Burger,30-60,Yes,31
No,Yes,Yes,Yes,$,No,No,Italian,0-10,Yes,26
No,Yes,No,Yes,$$,No,Yes,Italian,30-60,Yes,78
No,No,Yes,Yes,$$,Yes,Yes,French,>60,No,0
No,Yes,No,Yes,$,No,Yes,Burger,10-30,Yes,83
Yes,Yes,Yes,No,$,No,No,Burger,30-60,Yes,26
No,No,Yes,No,$$$,Yes,Yes,Italian,0-10,Yes,707
Yes,Yes,Yes,Yes,$,Yes,No,Italian,30-60,Yes,49
Yes,Yes,No,Yes,$,No,No,Italian,10-30,No,0
No,No,No,Yes,$$,No,No,Italian,0-10,Yes,161
Yes,No,Yes,Yes,$,Yes,No,Italian,0-10,Yes,236
No,Yes,Yes,Yes,$$,No,No,Italian,0-10,Yes,207
No,No,Yes,No,$,No,No,Italian,30-60,Yes,26
Yes,Yes,No,Yes,$$,No,No,Burger,>60,No,0
Yes,No,No,Yes,$$,Yes,Yes,Thai,10-30,Yes,225
No,No,Yes,Yes,$,No,No,Italian,30-60,Yes,106
Yes,No,Yes,Yes,$$,No,No,Burger,>60,No,0
Yes,No,No,No,$$,Yes,Yes,Italian,0-10,Yes,24
Yes,Yes,Yes,No,$,Yes,No,Thai,0-10,Yes,38
No,No,Yes,Yes,$$$,Yes,Yes,French,30-60,Yes,394
No,No,No,Yes,$,No,Yes,Thai,10-30,No,0
Yes,Yes,Yes,Yes,$$,No,No,Burger,10-30,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Burger,>60,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Thai,>60,No,0
Yes,Yes,Yes,No,$,Yes,No,Italian,0-10,Yes,224
Yes,No,Yes,No,$,No,No,French,10-30,Yes,225
No,Yes,No,No,$$,Yes,Yes,Burger,30-60,Yes,160
Yes,No,Yes,No,$,Yes,No,Burger,>60,No,0
No,Yes,Yes,Yes,$,No,No,French,>60,No,0
Yes,No,Yes,No,$,No,Yes,Italian,0-10,Yes,201
No,Yes,No,No,$,Yes,No,Burger,>60,No,0
Yes,No,Yes,No,$,Yes,No,Burger,30-60,Yes,70
No,No,Yes,No,$,Yes,No,Italian,0-10,Yes,26
Yes,Yes,Yes,Yes,$$$,Yes,Yes,Italian,>60,No,0
No,No,Yes,No,$,Yes,No,Italian,0-10,Yes,309
No,No,Yes,Yes,$$,Yes,Yes,Burger,30-60,Yes,201
No,No,No,No,$$,Yes,Yes,Italian,0-10,Yes,32
No,No,Yes,Yes,$,No,No,French,10-30,No,0
No,Yes,Yes,Yes,$$,No,No,Italian,>60,No,0
No,No,Yes,Yes,$,Yes,No,Burger,>60,No,0
Yes,No,Yes,Yes,$,Yes,Yes,Italian,0-10,Yes,369
No,Yes,Yes,No,$,No,No,Italian,10-30,No,0
Yes,Yes,Yes,No,$,Yes,Yes,Burger,0-10,No,0
Yes,Yes,No,No,$,No,No,Burger,>60,No,0
Yes,No,Yes,No,$$,No,No,Burger,10-30,Yes,425
Yes,No,Yes,No,$$$,Yes,Yes,Italian,10-30,Yes,39
Yes,Yes,No,No,$$,Yes,No,Italian,30-60,No,0
No,No,No,Yes,$,Yes,No,Italian,10-30,Yes,20
No,Yes,No,Yes,$$,No,No,Italian,0-10,Yes,38
No,No,Yes,No,$$,Yes,Yes,Italian,30-60,No,0
Yes,Yes,Yes,No,$,Yes,No,Italian,0-10,Yes,155
No,No,No,Yes,$,Yes,No,Thai,0-10,Yes,166
No,Yes,No,Yes,$,No,No,Thai,30-60,No,0
No,No,Yes,No,$,No,No,Italian,>60,No,0
No,Yes,Yes,No,$$,No,Yes,Italian,30-60,Yes,375
No,No,No,Yes,$$,No,Yes,Thai,0-10,Yes,131
Yes,No,Yes,No,$,Yes,No,Italian,0-10,Yes,228
No,No,Yes,Yes,$$,Yes,Yes,Italian,10-30,No,0
Yes,Yes,Yes,No,$$,No,Yes,Italian,>60,No,0
Yes,No,Yes,No,$$,Yes,Yes,Italian,10-30,Yes,31
Yes,No,Yes,Yes,$,Yes,No,Burger,30-60,Yes,26
Yes,No,No,Yes,$,No,No,Thai,10-30,Yes,20
Yes,Yes,No,Yes,$,No,Yes,Italian,0-10,Yes,20
No,No,Yes,No,$$,No,No,Thai,10-30,Yes,31
No,Yes,Yes,No,$$,No,Yes,Italian,>60,No,0
No,No,Yes,Yes,$,No,No,Italian,>60,No,0
Yes,Yes,Yes,No,$,No,No,Thai,0-10,Yes,26
No,Yes,No,Yes,$$,No,Yes,Burger,10-30,Yes,24
No,No,Yes,Yes,$,No,No,French,0-10,Yes,344
Yes,Yes,Yes,No,$,Yes,No,Italian,30-60,Yes,26
Yes,Yes,Yes,No,$,No,Yes,French,0-10,Yes,192
Yes,No,Yes,Yes,$,Yes,No,Italian,0-10,Yes,26
Yes,Yes,Yes,Yes,$,No,No,Italian,30-60,Yes,26
No,Yes,Yes,Yes,$,No,Yes,French,0-10,Yes,26
Yes,Yes,Yes,No,$$,No,No,Thai,30-60,Yes,240
Yes,Yes,Yes,Yes,$$$,No,Yes,Burger,0-10,Yes,39
No,No,No,No,$,No,No,Italian,0-10,Yes,22
No,Yes,Yes,No,$,No,No,Italian,>60,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Burger,0-10,Yes,26
No,No,Yes,Yes,$,No,No,Thai,30-60,No,0
Yes,No,Yes,No,$$,No,No,Italian,10-30,Yes,74
Yes,Yes,Yes,Yes,$,Yes,No,Burger,10-30,Yes,26
No,No,Yes,Yes,$,Yes,No,Burger,30-60,No,0
No,No,Yes,No,$$,No,Yes,Italian,30-60,No,0
Yes,No,No,Yes,$$,Yes,No,Thai,>60,No,0
Yes,No,Yes,Yes,$,Yes,No,French,0-10,No,0
Yes,No,Yes,Yes,$,No,Yes,French,30-60,Yes,26
No,No,Yes,Yes,$,Yes,No,Italian,30-60,No,0
Yes,No,Yes,Yes,$,Yes,No,Italian,0-10,Yes,257
Yes,No,Yes,Yes,$,No,No,Burger,10-30,No,0
Yes,No,Yes,No,$$,No,Yes,Burger,0-10,Yes,31
Yes,Yes,Yes,No,$,Yes,No,Italian,0-10,Yes,276
Yes,Yes,No,Yes,$$,Yes,No,Italian,10-30,Yes,105
No,Yes,Yes,Yes,$$,Yes,No,Burger,10-30,Yes,69
Yes,Yes,Yes,No,$,Yes,No,Italian,0-10,Yes,26
Yes,Yes,Yes,No,$,Yes,No,Italian,30-60,Yes,60
Yes,No,No,Yes,$$,No,No,French,30-60,No,0
Yes,No,Yes,No,$,Yes,No,Italian,>60,No,0
No,Yes,Yes,Yes,$,Yes,No,Thai,10-30,Yes,57
No,Yes,Yes,No,$,Yes,No,Italian,0-10,Yes,299
No,No,Yes,Yes,$$,No,No,Italian,30-60,No,0
Yes,Yes,No,No,$,No,No,French,0-10,Yes,214
Yes,No,Yes,Yes,$,Yes,No,Italian,10-30,Yes,26
No,Yes,Yes,Yes,$$$,No,Yes,Burger,0-10,Yes,39
No,No,Yes,Yes,$$,No,No,French,10-30,Yes,31
No,Yes,No,No,$$,Yes,Yes,Italian,>60,No,0
Yes,No,Yes,No,$$,No,No,Italian,>60,No,0
Yes,Yes,Yes,No,$,Yes,No,Italian,10-30,Yes,240
No,Yes,Yes,Yes,$$$,Yes,Yes,Italian,>60,Yes,606
No,No,Yes,Yes,$,Yes,No,Burger,30-60,Yes,135
No,No,Yes,No,$$,No,Yes,Burger,10-30,Yes,101
Yes,Yes,Yes,Yes,$,Yes,Yes,Burger,10-30,Yes,40
Yes,Yes,No,Yes,$$,Yes,Yes,Italian,30-60,No,0
Yes,No,No,Yes,$$,Yes,No,Burger,30-60,No,0
No,No,Yes,No,$,No,Yes,Burger,10-30,Yes,26
No,No,No,Yes,$$$,Yes,Yes,French,>60,Yes,30
Yes,Yes,Yes,Yes,$$$,Yes,No,Burger,30-60,Yes,39
No,Yes,No,Yes,$,No,No,Italian,0-10,Yes,329
Yes,No,No,No,$,Yes,No,Burger,0-10,Yes,85
No,Yes,No,Yes,$$,No,Yes,Burger,10-30,Yes,111
No,Yes,Yes,No,$$$,Yes,Yes,Italian,30-60,Yes,39
No,No,Yes,Yes,$,No,Yes,Burger,0-10,Yes,63
No,Yes,Yes,Yes,$,No,No,Burger,30-60,Yes,26
Yes,No,Yes,Yes,$$,Yes,No,Thai,0-10,No,0
No,No,Yes,Yes,$,No,No,Italian,0-10,No,0
Yes,Yes,Yes,No,$,Yes,No,Italian,10-30,Yes,26
Yes,Yes,Yes,Yes,$,Yes,Yes,Italian,30-60,Yes,57
Yes,No,Yes,Yes,$,No,No,Burger,30-60,Yes,220
No,No,Yes,Yes,$$$,Yes,Yes,Italian,10-30,Yes,362
Yes,No,Yes,No,$,Yes,Yes,Thai,30-60,Yes,441
Yes,Yes,Yes,Yes,$,Yes,No,Thai,30-60,Yes,67
Yes,No,Yes,Yes,$,Yes,Yes,Italian,0-10,Yes,26
No,No,Yes,Yes,$,Yes,No,Italian,0-10,No,0
No,No,No,Yes,$$,No,Yes,Italian,30-60,No,0
Yes,No,Yes,No,$,Yes,Yes,Italian,30-60,Yes,186
No,Yes,No,No,$$,No,Yes,Burger,30-60,Yes,107
Yes,Yes,Yes,Yes,$$$,Yes,Yes,Italian,0-10,Yes,351
Yes,No,Yes,Yes,$,Yes,No,Italian,0-10,Yes,26
No,Yes,Yes,No,$$$,No,Yes,French,0-10,Yes,155
Yes,Yes,No,Yes,$,Yes,No,Italian,10-30,Yes,110
No,Yes,No,Yes,$$,Yes,No,Thai,>60,No,0
No,No,No,Yes,$,No,No,French,10-30,Yes,20
Yes,Yes,Yes,No,$,No,No,Italian,30-60,Yes,26
No,Yes,Yes,Yes,$$,No,No,Burger,>60,No,0
No,No,Yes,Yes,$,Yes,No,Thai,>60,No,0
Yes,No,Yes,Yes,$,No,Yes,French,30-60,Yes,111
Yes,Yes,Yes,Yes,$,Yes,Yes,Burger,>60,Yes,195
No,Yes,Yes,Yes,$,No,No,Burger,0-10,Yes,26
No,No,No,No,$,Yes,No,Italian,30-60,No,0
Yes,No,No,No,$,No,Yes,Burger,10-30,Yes,130
No,No,Yes,No,$$,No,Yes,Italian,>60,No,0
No,No,Yes,No,$,No,No,Burger,>60,No,0
No,Yes,Yes,Yes,$,No,No,Burger,>60,No,0
No,No,Yes,Yes,$$,No,No,Thai,>60,No,0
No,Yes,Yes,Yes,$$,No,Yes,Italian,10-30,Yes,291
No,Yes,Yes,No,$,Yes,No,Burger,30-60,Yes,26
No,Yes,No,No,$$,Yes,Yes,Italian,>60,No,0
Yes,No,Yes,Yes,$,No,No,Italian,0-10,Yes,26
Yes,No,Yes,Yes,$$,Yes,Yes,Italian,30-60,Yes,442
Yes,Yes,No,No,$,No,Yes,Italian,>60,No,0
Yes,Yes,Yes,Yes,$,No,No,Burger,10-30,No,0
Yes,Yes,Yes,No,$,No,No,Burger,>60,No,0
No,Yes,Yes,No,$$,No,Yes,French,30-60,Yes,217
No,Yes,Yes,No,$,Yes,Yes,French,10-30,Yes,71
No,No,Yes,Yes,$$$,No,Yes,French,0-10,Yes,39
No,No,Yes,No,$$$,No,Yes,Thai,0-10,Yes,680
Yes,No,Yes,No,$$$,No,No,Burger,>60,Yes,92
No,Yes,No,No,$,Yes,Yes,Italian,>60,Yes,68
No,Yes,Yes,No,$$,No,No,Italian,>60,No,0
Yes,No,Yes,Yes,$,Yes,Yes,Italian,>60,No,0
No,No,No,No,$,Yes,No,Italian,0-10,Yes,25
No,Yes,Yes,Yes,$,No,No,Italian,0-10,Yes,274
Yes,No,Yes,No,$,Yes,No,Italian,>60,No,0
No,No,Yes,No,$$,No,No,Italian,0-10,Yes,88
No,No,Yes,No,$$$,No,No,French,30-60,Yes,145
No,Yes,Yes,No,$,No,No,Burger,10-30,Yes,62
No,Yes,Yes,No,$,No,No,Burger,>60,No,0
No,No,Yes,No,$$$,Yes,Yes,Burger,0-10,Yes,39
Yes,Yes,Yes,Yes,$,Yes,No,Italian,0-10,Yes,67
Yes,No,Yes,Yes,$$$,Yes,Yes,Burger,10-30,Yes,870
Yes,No,Yes,Yes,$$,No,No,Burger,30-60,Yes,277
Yes,Yes,No,No,$,No,No,Italian,10-30,Yes,218
Yes,Yes,Yes,Yes,$$,Yes,Yes,Italian,>60,No,0
Yes,Yes,Yes,No,$$,No,No,Burger,>60,No,0
No,No,Yes,Yes,$$,Yes,Yes,Thai,>60,Yes,31
Yes,No,Yes,Yes,$,No,No,Burger,30-60,Yes,310
Yes,No,Yes,Yes,$$,Yes,Yes,Italian,10-30,Yes,52
No,Yes,Yes,No,$,No,Yes,Italian,30-60,Yes,26
No,No,Yes,No,$$,Yes,No,Italian,0-10,Yes,31
Yes,No,Yes,No,$,No,No,Italian,30-60,Yes,75
No,No,Yes,No,$,Yes,No,French,30-60,Yes,281
Yes,No,Yes,No,$$,No,Yes,Italian,>60,No,0
No,Yes,Yes,No,$,No,No,Italian,10-30,Yes,382
Yes,Yes,Yes,No,$,No,Yes,French,0-10,Yes,26
No,Yes,No,Yes,$,Yes,No,Burger,30-60,Yes,20
No,No,No,Yes,$,No,No,Italian,10-30,Yes,20
Yes,No,No,Yes,$,No,No,Thai,10-30,No,0
Yes,No,Yes,No,$,Yes,No,Italian,>60,No,0
Yes,Yes,Yes,No,$,Yes,Yes,Italian,10-30,Yes,26
Yes,Yes,Yes,Yes,$,No,Yes,French,10-30,No,0
Yes,Yes,No,Yes,$,Yes,No,Burger,0-10,Yes,89
No,Yes,Yes,No,$,Yes,No,Italian,10-30,Yes,26
Yes,Yes,Yes,Yes,$,No,No,French,30-60,Yes,33
Yes,No,Yes,No,$,No,No,Thai,0-10,Yes,26
No,Yes,Yes,No,$$,No,Yes,Italian,10-30,Yes,31
No,Yes,No,Yes,$,No,No,Burger,>60,No,0
Yes,Yes,Yes,No,$$,Yes,No,Burger,0-10,Yes,31
No,No,No,Yes,$$,No,Yes,Burger,0-10,Yes,163
No,Yes,Yes,No,$,Yes,Yes,Burger,10-30,Yes,26
Yes,Yes,Yes,No,$,Yes,No,Italian,>60,No,0
No,Yes,Yes,Yes,$,Yes,No,French,0-10,Yes,26
No,No,Yes,No,$,No,No,French,10-30,Yes,55
Yes,No,No,Yes,$,Yes,No,Burger,10-30,Yes,20
Yes,Yes,Yes,No,$$,No,Yes,Thai,30-60,Yes,80
No,Yes,Yes,Yes,$,No,Yes,Burger,0-10,No,0
No,Yes,No,No,$,Yes,No,Thai,0-10,Yes,62
Yes,Yes,Yes,Yes,$$,No,Yes,Italian,0-10,Yes,258
No,No,Yes,Yes,$$,Yes,Yes,French,0-10,Yes,122
No,Yes,Yes,No,$,No,No,Italian,10-30,Yes,138
No,No,Yes,No,$,No,No,Italian,10-30,Yes,323
Yes,Yes,No,Yes,$$,Yes,No,Thai,30-60,No,0
No,No,Yes,Yes,$,Yes,No,French,10-30,Yes,340
No,No,Yes,Yes,$$,No,No,Burger,>60,No,0
Yes,Yes,Yes,Yes,$,Yes,No,Thai,>60,No,0
No,No,Yes,Yes,$,Yes,No,Burger,10-30,Yes,128
No,Yes,Yes,No,$,No,No,Burger,0-10,Yes,366
Yes,No,No,Yes,$$$,No,No,Thai,0-10,Yes,238
Yes,No,Yes,Yes,$$,Yes,No,Burger,>60,No,0
Yes,Yes,Yes,Yes,$,No,No,French,10-30,No,0
Yes,Yes,Yes,No,$,No,No,Burger,30-60,Yes,409
No,No,Yes,Yes,$,No,Yes,Italian,30-60,No,0
No,No,No,Yes,$$,No,No,Italian,>60,No,0
Yes,Yes,No,Yes,$,Yes,No,Burger,30-60,No,0
Yes,Yes,No,Yes,$$,Yes,No,Italian,>60,No,0
No,Yes,Yes,Yes,$$,Yes,Yes,French,30-60,Yes,31
Yes,No,Yes,Yes,$,Yes,No,Italian,>60,No,0
No,Yes,Yes,Yes,$$,No,Yes,Italian,>60,No,0
Yes,Yes,No,No,$,No,No,Thai,0-10,Yes,20
No,No,No,Yes,$,No,Yes,Italian,>60,No,0
Yes,Yes,Yes,Yes,$$,No,Yes,French,0-10,Yes,141
Yes,Yes,Yes,No,$,Yes,No,Burger,30-60,Yes,26
No,Yes,Yes,Yes,$$,No,Yes,French,30-60,Yes,31
Yes,Yes,Yes,No,$,Yes,No,Italian,10-30,No,0
No,No,Yes,No,$,Yes,Yes,Italian,0-10,Yes,26
No,Yes,No,Yes,$$$,No,Yes,French,>60,Yes,163
No,Yes,No,Yes,$$,No,No,Italian,10-30,Yes,24
No,Yes,No,Yes,$$,No,No,Burger,>60,No,0
No,Yes,No,Yes,$,No,No,French,>60,No,0
Yes,Yes,No,No,$,No,No,French,30-60,No,0
Yes,Yes,Yes,No,$$$,No,Yes,Thai,30-60,Yes,566
No,No,Yes,Yes,$,Yes,No,French,10-30,Yes,317
Yes,No,Yes,Yes,$$$,No,Yes,Italian,10-30,Yes,292
No,No,Yes,No,$,Yes,Yes,French,10-30,Yes,26
Yes,Yes,Yes,Yes,$,Yes,No,Italian,30-60,Yes,324
Yes,Yes,No,Yes,$,Yes,Yes,Italian,0-10,Yes,20
Yes,Yes,Yes,Yes,$,Yes,No,Thai,30-60,Yes,31
Yes,No,Yes,Yes,$$,Yes,No,Italian,>60,No,0
No,Yes,Yes,No,$$$,No,No,Thai,10-30,Yes,39
No,No,Yes,No,$,No,No,Burger,30-60,No,0
Yes,Yes,No,Yes,$,No,No,Burger,10-30,No,0
Yes,Yes,Yes,Yes,$$,Yes,Yes,Burger,30-60,Yes,31
No,No,No,No,$$,Yes,No,French,0-10,Yes,24
Yes,No,Yes,Yes,$,Yes,No,Burger,>60,No,0
No,No,Yes,Yes,$,No,No,Italian,0-10,Yes,26
No,No,No,No,$,No,No,Italian,10-30,Yes,70
No,No,No,Yes,$$,No,Yes,Italian,>60,No,0
Yes,No,No,No,$,No,No,Burger,0-10,Yes,213
No,Yes,No,No,$$,No,Yes,Burger,>60,No,0
Yes,No,Yes,Yes,$,No,No,Italian,>60,No,0
No,Yes,Yes,No,$$,No,No,Italian,>60,No,0
Yes,Yes,No,No,$,No,No,Italian,30-60,No,0
Yes,Yes,Yes,Yes,$,No,No,Italian,10-30,No,0
Yes,Yes,Yes,Yes,$,No,No,Italian,0-10,Yes,26
No,Yes,No,Yes,$$,Yes,No,Italian,10-30,Yes,24
No,No,No,No,$,Yes,No,Burger,>60,No,0
Yes,No,Yes,No,$$$,Yes,Yes,Italian,>60,Yes,39
