ID,Responded,Previous,ControlPackage,PostalCode,Age,Income,Education,Reside,Gender,Married,Children,Region,Sequence
2809, ,No, ,61220,60,75+,Some college,7,Female,Yes,2,North,5926
2810, ,No, ,75740,60,<25,College,9,Male,No,0,South,3944
2811, ,No, ,61880,46,75+,Post-graduate,10,Female,No,1,North,5435
2812,No,No,Control,74600,52,75+,Some high school or less,13,Male,Yes,2,South,2940
2813, ,No, ,74680,33,25-49,Post-graduate,11,Male,No,0,South,3637
2814, ,No, ,95070,56,25-49,Some college,7,Female,Yes,0,West,1082
2815, ,No, ,11000,31,<25,College,8,Female,Yes,1,East,8749
2816,No,No,Control,61280,39,25-49,College,11,Male,No,1,North,5570
2817, ,No, ,60960,49,25-49,High school,14,Male,Yes,0,North,6442
2818, ,No, ,95540,48,75+,Some high school or less,9,Female,Yes,2,West,20
2819, ,No, ,96290,51,75+,Some college,8,Male,Yes,2,West,373
2820, ,No, ,92930,35,25-49,High school,7,Male,No,0,West,4272
2821, ,No, ,75490,32,75+,High school,10,Female,No,1,South,2038
2822, ,No, ,74210,44,50-74,High school,10,Female,No,2,South,1751
2823, ,No, ,10210,58,75+,Some high school or less,10,Female,Yes,2,East,8464
2824,No,No,Control,95270,38,75+,Post-graduate,8,Male,No,0,West,4160
2825, ,No, ,09780,32,75+,High school,10,Female,Yes,1,East,8310
2826,No,No,Test,94610,32,75+,Post-graduate,13,Female,Yes,0,West,14
2827, ,No, ,61830,40,75+,Some high school or less,6,Male,No,0,North,7304
2828, ,No, ,74830,58,75+,Post-graduate,4,Male,Yes,0,South,3009
2829, ,No, ,61860,38,<25,Some high school or less,8,Male,No,0,North,7312
2830,No,No,Test,10030,48,50-74,College,8,Female,No,2,East,8394
2831, ,No, ,96270,23,50-74,College,9,Male,No,0,West,4190
2832, ,No, ,08960,31,75+,Some college,8,Female,Yes,2,East,8017
2833, ,No, ,97300,46,75+,Some high school or less,8,Female,Yes,2,West,1624
2834, ,No, ,61060,19,<25,Some high school or less,8,Male,No,0,North,7104
2835, ,No, ,94460,45,<25,Some college,10,Male,No,0,West,4382
2836, ,No, ,75720,57,75+,High school,9,Female,Yes,0,South,2636
2837, ,No, ,09870,33,<25,College,13,Female,Yes,0,East,8333
2838,No,No,Test,61140,37,25-49,Some college,11,Female,Yes,1,North,5907
2839,No,No,Test,96450,55,75+,College,7,Female,Yes,2,West,1419
2840, ,No, ,74390,43,75+,Post-graduate,9,Male,Yes,0,South,2885
2841, ,No, ,62010,60,50-74,Some college,10,Male,No,0,North,7348
2842, ,No, ,96200,49,75+,College,5,Male,Yes,3,West,4874
2843, ,No, ,75730,45,75+,Some high school or less,14,Male,Yes,0,South,3236
2844, ,No, ,10050,50,50-74,Post-graduate,13,Male,No,0,East,9551
2845, ,No, ,74340,41,75+,College,11,Female,Yes,0,South,2304
2846, ,No, ,10880,36,50-74,High school,8,Female,No,3,East,9317
2847, ,No, ,10810,39,25-49,Post-graduate,5,Male,No,0,East,9704
2848,No,No,Test,76190,54,50-74,High school,12,Male,Yes,2,South,3368
2849, ,No, ,95490,27,75+,Post-graduate,9,Male,No,0,West,4166
2850,No,No,Control,60590,56,75+,Some college,10,Female,No,1,North,5142
2851, ,No, ,09040,44,75+,Some college,6,Female,Yes,2,East,8039
2852, ,No, ,74430,36,<25,Some college,9,Female,No,0,South,1803
2853,No,No,Control,12250,58,75+,Some high school or less,4,Male,Yes,2,East,7569
2854, ,No, ,76030,53,75+,Post-graduate,6,Female,Yes,0,South,2719
2855,No,No,Test,62220,30,<25,Some college,10,Female,No,0,North,5523
2856,No,No,Test,12250,51,25-49,College,11,Female,No,1,East,9210
2857, ,No, ,60270,32,25-49,Some college,6,Female,No,0,North,5072
2858, ,No, ,61970,47,75+,Some college,12,Male,Yes,2,North,6681
2859, ,No, ,95570,41,25-49,Some high school or less,9,Male,Yes,2,West,457
2860, ,No, ,61960,17,<25,Post-graduate,6,Female,No,0,North,5459
2861,No,No,Control,75220,32,25-49,Some college,8,Female,No,1,South,1977
2862, ,No, ,75610,33,<25,Some high school or less,14,Female,No,0,South,2068
2863, ,No, ,93870,31,50-74,College,12,Female,Yes,0,West,801
2864,No,No,Test,74280,40,75+,Some high school or less,11,Female,No,1,South,3394
2865,Yes,No,Test,94150,32,75+,Some college,10,Female,No,2,West,860
2866, ,No, ,74470,46,75+,College,7,Female,No,2,South,1813
2867, ,No, ,10200,47,<25,Some college,13,Female,No,0,East,8461
2868, ,No, ,74670,40,25-49,Post-graduate,12,Male,Yes,1,South,2967
2869,No,No,Test,94400,50,50-74,High school,9,Male,Yes,2,West,4797
2870,No,No,Test,92780,48,75+,Post-graduate,7,Female,Yes,0,West,4713
2871, ,No, ,95640,33,50-74,Post-graduate,14,Male,Yes,2,West,313
2872, ,No, ,74070,33,75+,Post-graduate,10,Female,No,2,South,3383
2873, ,No, ,61310,34,75+,Some college,10,Male,No,0,North,7162
2874, ,No, ,74610,65,75+,Post-graduate,8,Male,Yes,2,South,2946
2875, ,No, ,95230,24,75+,High school,7,Female,No,0,West,1125
2876, ,No, ,93720,22,25-49,High school,13,Male,No,0,West,4328
2877, ,No, ,76130,26,25-49,Some college,16,Female,No,0,South,2185
2878, ,No, ,61730,51,50-74,Some college,10,Male,Yes,3,North,6625
2879, ,No, ,93590,39,75+,Some college,7,Male,Yes,0,West,126
2880, ,No, ,75610,57,25-49,Some high school or less,9,Male,Yes,0,South,3208
2881, ,No, ,61080,53,25-49,High school,8,Female,No,1,North,6776
2882, ,No, ,11730,43,25-49,Some college,15,Female,Yes,0,East,9039
2883, ,No, ,95950,61,25-49,Post-graduate,6,Male,Yes,2,West,4867
2884, ,No, ,09100,36,25-49,Some college,13,Male,No,1,East,7602
2885, ,No, ,92850,36,25-49,College,3,Male,Yes,2,West,69
2886,No,No,Control,08990,57,50-74,High school,12,Male,Yes,2,East,7590
2887, ,No, ,10210,29,50-74,Some college,9,Female,Yes,0,East,8466
2888, ,No, ,09630,70,25-49,Post-graduate,7,Male,No,1,East,9495
2889, ,No, ,10110,42,25-49,High school,7,Female,No,0,East,8428
2890, ,No, ,60330,35,25-49,Post-graduate,10,Female,No,0,North,5083
2891, ,No, ,09940,52,75+,College,6,Female,Yes,3,East,8358
2892, ,Yes, ,74590,43,75+,Post-graduate,8,Female,Yes,2,South,2358
2893, ,No, ,74690,51,25-49,Some high school or less,9,Male,Yes,2,South,2969
2894, ,No, ,96500,49,25-49,High school,13,Male,No,1,West,4559
2895, ,No, ,59850,56,75+,Post-graduate,16,Female,No,1,North,4953
2896, ,No, ,09890,37,25-49,Some college,14,Male,No,1,East,9522
2897, ,No, ,60690,48,25-49,Some college,9,Female,No,0,North,6769
2898,No,No,Test,92360,32,25-49,College,6,Male,No,1,West,4632
2899, ,No, ,60990,31,25-49,Some college,11,Female,No,1,North,5233
2900, ,No, ,61390,52,75+,High school,10,Female,No,2,North,5330
2901, ,No, ,96330,38,25-49,Some college,12,Male,Yes,2,West,376
2902, ,No, ,92410,46,75+,High school,5,Female,Yes,3,West,473
2903, ,No, ,10490,52,75+,Some college,10,Male,Yes,3,East,7782
2904, ,No, ,11960,30,<25,Post-graduate,15,Female,No,0,East,9101
2905, ,No, ,94170,52,50-74,Some high school or less,13,Male,No,1,West,4362
2906, ,No, ,75590,25,<25,Some college,2,Female,No,0,South,2060
2907, ,No, ,75390,44,50-74,Some high school or less,8,Female,Yes,0,South,2562
2908, ,No, ,75460,36,50-74,Some college,11,Male,No,0,South,3874
2909,No,No,Control,75770,69,75+,High school,13,Female,Yes,3,South,2650
2910, ,No, ,10210,24,25-49,College,11,Male,Yes,2,East,7744
2911, ,No, ,10440,44,<25,Post-graduate,11,Female,No,0,East,8551
2912, ,No, ,75620,53,50-74,Some high school or less,8,Female,Yes,2,South,2606
2913, ,No, ,59950,53,50-74,High school,10,Female,No,1,North,4982
2914, ,No, ,76070,34,75+,High school,11,Female,No,3,South,2177
2915,No,No,Test,09420,38,<25,Post-graduate,6,Female,No,0,East,9359
2916, ,No, ,94700,51,75+,Some college,10,Male,Yes,2,West,220
2917, ,No, ,61570,36,<25,Some college,6,Male,No,0,North,7229
2918, ,No, ,62230,53,50-74,College,6,Female,Yes,2,North,6161
2919, ,No, ,96800,38,50-74,College,13,Male,No,3,West,4585
2920,No,No,Test,60660,38,<25,College,15,Male,Yes,1,North,6364
2921, ,No, ,11940,45,75+,College,12,Female,No,1,East,9096
2922, ,No, ,11390,44,50-74,Some high school or less,10,Male,No,3,East,9804
2923, ,No, ,61930,63,25-49,Some college,10,Female,Yes,0,North,6105
2924, ,No, ,62020,58,25-49,High school,6,Male,No,1,North,7350
2925,No,No,Test,95100,42,50-74,College,6,Male,Yes,3,West,256
2926, ,No, ,61290,36,<25,College,10,Male,Yes,1,North,6528
2927, ,No, ,75120,46,25-49,Some high school or less,9,Male,No,1,South,3779
2928, ,No, ,61880,43,75+,Some college,5,Female,Yes,0,North,6091
2929, ,No, ,10380,48,75+,College,11,Male,Yes,3,East,7765
2930, ,No, ,94690,16,25-49,College,11,Male,No,0,West,4404
2931, ,No, ,94410,48,75+,High school,12,Male,Yes,3,West,194
2932, ,No, ,94390,31,25-49,College,7,Female,No,1,West,1671
2933, ,Yes, ,10720,47,75+,College,9,Male,Yes,3,East,7506
2934, ,No, ,74610,56,25-49,Post-graduate,8,Female,No,1,South,1842
2935, ,No, ,11870,39,25-49,High school,16,Female,No,1,East,9078
2936, ,No, ,96680,44,50-74,Post-graduate,9,Male,No,2,West,4576
2937, ,No, ,74610,39,25-49,Post-graduate,14,Male,Yes,0,South,2947
2938, ,No, ,11430,44,25-49,Some high school or less,12,Male,No,1,East,9810
2939, ,No, ,61940,41,25-49,Some college,6,Female,No,1,North,5449
2940, ,No, ,61670,39,50-74,Post-graduate,10,Female,No,0,North,5390
2941, ,No, ,62040,47,75+,Some high school or less,4,Male,Yes,2,North,6699
2942,No,No,Control,10880,52,25-49,College,8,Male,Yes,2,East,7823
2943, ,No, ,11280,43,25-49,Some high school or less,14,Female,Yes,2,East,8849
2944, ,No, ,96590,64,75+,Some high school or less,14,Male,Yes,2,West,4884
2945,No,No,Test,74270,48,50-74,Post-graduate,11,Male,No,0,South,3524
2946, ,No, ,93510,40,50-74,High school,1,Female,No,1,West,726
2947, ,No, ,61180,30,25-49,Post-graduate,13,Female,No,0,North,5270
2948, ,No, ,74350,33,25-49,Post-graduate,4,Male,No,1,South,3551
2949, ,No, ,75740,55,25-49,Post-graduate,8,Male,No,0,South,3942
2950,No,No,Test,94650,33,75+,Some college,11,Male,No,0,West,4400
2951, ,No, ,09490,55,25-49,Some high school or less,10,Female,Yes,0,East,8204
2952, ,No, ,10650,31,50-74,Post-graduate,10,Male,Yes,2,East,7803
2953,No,No,Test,76120,18,<25,High school,14,Male,No,0,South,4056
2954,No,No,Test,93870,55,75+,Some college,9,Male,Yes,2,West,4775
2955, ,No, ,61180,31,<25,High school,10,Male,No,0,North,7129
2956,No,No,Control,97170,52,75+,College,11,Male,Yes,2,West,433
2957, ,No, ,95460,32,<25,College,6,Male,No,0,West,4678
2958, ,No, ,11100,43,25-49,Some high school or less,15,Female,No,1,East,8776
2959, ,No, ,08930,67,75+,Some college,9,Female,No,1,East,8005
2960, ,No, ,95510,44,50-74,High school,10,Male,No,0,West,4167
2961, ,No, ,96700,58,75+,Some high school or less,11,Female,Yes,2,West,1487
2962, ,No, ,09170,30,25-49,College,9,Male,No,1,East,9398
2963,No,No,Test,60930,61,75+,High school,10,Female,Yes,2,North,5853
2964, ,No, ,75840,53,75+,College,5,Female,Yes,2,South,2670
2965, ,No, ,10560,43,75+,Some high school or less,7,Male,Yes,3,East,7792
2966,No,No,Test,95080,50,25-49,Some high school or less,8,Female,Yes,2,West,1086
2967, ,No, ,95730,58,25-49,Post-graduate,7,Female,Yes,0,West,1244
2968, ,No, ,75400,28,<25,Some college,9,Male,No,0,South,3854
2969,No,No,Control,96220,35,<25,College,7,Female,No,0,West,1362
2970, ,No, ,60640,38,25-49,Post-graduate,7,Male,Yes,1,North,6358
2971, ,No, ,92570,49,75+,Some college,14,Male,Yes,3,West,44
2972, ,No, ,93760,51,25-49,Some high school or less,12,Female,No,1,West,772
2973,No,No,Control,95560,53,50-74,High school,10,Male,Yes,3,West,304
2974, ,No, ,60420,55,50-74,Some college,8,Female,No,1,North,5100
2975,Yes,No,Control,97130,55,25-49,College,12,Male,Yes,3,West,432
2976, ,No, ,10110,28,75+,Some college,12,Female,Yes,2,East,8430
2977,No,No,Control,60970,36,25-49,Some high school or less,8,Female,Yes,2,North,5869
2978, ,No, ,60190,31,<25,Some college,8,Female,No,0,North,5044
2979, ,No, ,60440,38,<25,High school,17,Male,Yes,0,North,6319
2980,No,No,Test,93730,37,25-49,College,11,Male,Yes,1,West,134
2981,Yes,No,Test,61440,26,<25,Post-graduate,10,Female,No,0,North,5342
2982, ,No, ,12340,47,75+,High school,11,Female,Yes,3,East,9238
2983, ,No, ,61050,16,25-49,Post-graduate,8,Female,No,0,North,5253
2984, ,No, ,97020,50,75+,Post-graduate,12,Female,Yes,2,West,1554
2985, ,No, ,10070,37,<25,College,7,Female,No,0,East,8409
2986, ,No, ,74660,25,50-74,Post-graduate,10,Male,No,0,South,3633
2987, ,No, ,75410,58,50-74,Post-graduate,9,Female,No,1,South,2017
2988,No,No,Test,09510,25,<25,Post-graduate,14,Female,No,0,East,8217
2989, ,No, ,11150,42,<25,Some college,11,Female,No,0,East,8799
2990,No,No,Test,62130,34,25-49,Post-graduate,6,Female,Yes,2,North,6142
2991, ,No, ,10980,33,50-74,Some college,7,Female,Yes,0,East,8738
2992, ,No, ,94270,52,50-74,College,7,Female,No,1,West,892
2993,No,No,Test,09190,32,50-74,Post-graduate,11,Male,No,0,East,9404
2994, ,No, ,61960,32,<25,Post-graduate,7,Female,No,0,North,5456
2995,No,No,Test,95780,41,25-49,Some high school or less,7,Female,No,1,West,1258
2996, ,No, ,76130,51,75+,Some college,12,Female,No,0,South,2188
2997, ,No, ,61420,73,50-74,High school,12,Male,Yes,3,North,6556
2998, ,No, ,11350,27,75+,College,11,Male,No,0,East,9801
2999,No,No,Test,75270,40,<25,Some college,9,Female,Yes,1,South,2537
3000,No,No,Control,09490,76,75+,Some college,8,Male,Yes,2,East,7645
3001, ,No, ,95470,27,25-49,Some high school or less,8,Female,No,1,West,1185
3002, ,No, ,11690,58,25-49,High school,13,Female,Yes,2,East,9025
3003, ,No, ,08960,33,<25,Post-graduate,9,Male,Yes,1,East,7435
3004, ,No, ,92410,45,50-74,College,9,Female,No,1,West,472
3005, ,No, ,09710,51,50-74,Some high school or less,10,Male,Yes,3,East,7672
3006, ,No, ,96900,23,75+,Some high school or less,14,Female,No,3,West,1527
3007, ,No, ,74930,45,75+,Post-graduate,4,Male,No,0,South,3720
3008, ,No, ,09580,46,75+,Some high school or less,10,Female,No,2,East,9360
3009, ,No, ,09490,35,25-49,Some high school or less,8,Female,No,0,East,8208
3010, ,No, ,94280,65,50-74,High school,7,Female,No,2,West,895
3011, ,No, ,74090,44,<25,College,11,Female,No,0,South,1720
3012,No,No,Control,61910,45,25-49,High school,10,Male,Yes,2,North,6666
3013,No,No,Control,09420,50,75+,Some college,6,Male,Yes,3,East,7636
3014, ,No, ,11540,54,75+,High school,8,Male,Yes,2,East,7998
3015, ,No, ,94820,30,75+,Some college,8,Female,No,1,West,1014
3016,No,No,Control,61580,30,<25,College,13,Female,No,0,North,5376
3017, ,No, ,75100,31,50-74,Post-graduate,6,Male,No,0,South,3772
3018, ,No, ,75530,18,50-74,Some high school or less,15,Male,Yes,0,South,3186
3019, ,No, ,74440,50,25-49,High school,12,Female,Yes,0,South,2330
3020, ,No, ,74290,27,<25,High school,15,Male,No,0,South,3533
3021,No,No,Control,74310,16,<25,College,13,Male,No,0,South,3538
3022, ,No, ,11730,32,75+,Some high school or less,6,Male,No,0,East,9859
3023,No,No,Control,75780,30,75+,Some college,8,Male,No,0,South,3958
3024, ,No, ,61880,40,<25,Post-graduate,12,Female,Yes,0,North,6090
3025, ,No, ,60560,48,25-49,Some high school or less,10,Male,Yes,2,North,6346
3026,No,No,Control,94760,41,50-74,Some college,11,Male,Yes,3,West,4814
3027, ,No, ,61460,37,25-49,Some high school or less,10,Female,Yes,1,North,5990
3028,No,No,Test,09460,71,75+,Some college,12,Male,Yes,2,East,7639
3029,No,No,Control,93490,27,<25,High school,10,Female,No,0,West,723
3030, ,No, ,94820,42,50-74,High school,11,Male,Yes,2,West,227
3031, ,No, ,75810,54,50-74,Some high school or less,5,Female,No,1,South,2117
3032,No,No,Test,61420,65,75+,Some high school or less,8,Male,Yes,2,North,6557
3033, ,No, ,93170,31,<25,Some college,3,Female,No,0,West,635
3034, ,No, ,75830,50,25-49,College,9,Female,Yes,2,South,2667
3035, ,No, ,59830,42,75+,Some college,10,Female,Yes,2,North,5590
3036,No,No,Control,60150,48,75+,Some high school or less,7,Female,Yes,0,North,5676
3037, ,No, ,95470,55,50-74,Post-graduate,15,Male,Yes,3,West,291
3038, ,No, ,75360,49,<25,College,13,Male,No,0,South,3842
3039, ,No, ,93860,47,25-49,High school,9,Male,Yes,3,West,143
3040, ,No, ,74790,42,75+,Some high school or less,5,Male,Yes,0,South,2989
3041, ,No, ,61330,57,25-49,Some college,15,Female,No,1,North,5311
3042, ,No, ,96140,43,75+,Post-graduate,10,Female,No,0,West,1348
3043, ,No, ,10910,65,50-74,High school,10,Female,Yes,2,East,9335
3044, ,No, ,12300,46,50-74,College,12,Male,Yes,3,East,7953
3045, ,No, ,09230,41,25-49,Some high school or less,10,Female,Yes,0,East,8103
3046, ,No, ,95360,44,25-49,College,11,Female,No,1,West,1156
3047, ,No, ,94790,53,50-74,Post-graduate,8,Female,No,1,West,1005
3048, ,No, ,10380,35,25-49,College,9,Female,Yes,2,East,8533
3049, ,No, ,75450,41,50-74,College,7,Male,Yes,0,South,3869
3050, ,No, ,74000,57,50-74,High school,9,Male,No,0,South,3440
3051, ,No, ,60260,41,50-74,Some college,11,Female,No,2,North,6764
3052, ,No, ,12210,42,75+,High school,5,Female,Yes,0,East,9203
3053, ,No, ,09350,53,<25,Some high school or less,11,Female,No,0,East,8156
3054, ,No, ,61660,48,25-49,Some high school or less,7,Male,Yes,2,North,6613
3055, ,No, ,76070,41,75+,Some college,8,Female,Yes,2,South,2737
3056, ,No, ,74090,47,25-49,Some high school or less,10,Male,No,0,South,3461
3057, ,No, ,74380,49,50-74,Some high school or less,9,Female,Yes,2,South,2313
3058, ,No, ,10300,52,25-49,College,9,Male,Yes,2,East,7760
3059, ,No, ,92990,33,<25,Some college,14,Female,No,0,West,588
3060, ,No, ,09670,31,25-49,Post-graduate,11,Male,No,0,East,9500
3061, ,No, ,60850,39,75+,Post-graduate,9,Male,No,0,North,7064
3062, ,No, ,60170,45,75+,College,7,Female,No,2,North,6761
3063, ,No, ,74320,41,75+,College,14,Female,No,1,South,1776
3064, ,No, ,75020,45,75+,High school,12,Male,No,0,South,3748
3065,No,No,Test,74880,63,25-49,Post-graduate,11,Female,Yes,0,South,2439
3066, ,No, ,60470,26,<25,Post-graduate,6,Female,No,0,North,5112
3067, ,No, ,96560,30,25-49,Some high school or less,10,Male,Yes,0,West,399
3068, ,No, ,93860,48,50-74,Some college,11,Female,No,3,West,799
3069, ,No, ,10630,52,75+,Some college,8,Female,Yes,2,East,8615
3070,Yes,No,Control,74940,54,75+,College,6,Female,No,2,South,1918
3071, ,No, ,92850,49,75+,Some college,6,Female,Yes,2,West,3
3072, ,No, ,94140,39,75+,Some high school or less,7,Male,No,0,West,4139
3073, ,No, ,75290,42,25-49,Post-graduate,13,Male,Yes,2,South,3130
3074,No,No,Control,92410,44,75+,Some high school or less,5,Male,No,0,West,4216
3075, ,No, ,60230,52,25-49,College,11,Male,No,1,North,6903
3076, ,No, ,97330,44,<25,Post-graduate,9,Female,No,0,West,1630
3077,No,No,Control,60990,45,25-49,Some high school or less,9,Male,Yes,0,North,6451
3078, ,No, ,60260,61,75+,High school,9,Male,Yes,3,North,6285
3079, ,No, ,74410,65,50-74,Some college,11,Female,No,0,South,1798
3080,No,No,Test,12140,46,50-74,College,9,Male,Yes,3,East,7938
3081, ,No, ,96890,57,50-74,High school,12,Male,No,2,West,4589
3082, ,No, ,08920,49,25-49,High school,9,Female,Yes,0,East,8001
3083,No,No,Control,76170,39,25-49,High school,12,Male,No,0,South,4071
3084, ,No, ,59920,36,<25,Some high school or less,11,Female,No,0,North,4974
3085, ,No, ,74750,65,75+,High school,8,Female,No,1,South,1878
3086,No,No,Control,11230,56,75+,High school,10,Female,Yes,2,East,8831
3087, ,No, ,75870,40,25-49,Post-graduate,3,Male,No,0,South,3982
3088, ,No, ,74210,28,<25,Some college,10,Female,No,0,South,1754
3089, ,No, ,95800,24,75+,College,9,Male,No,0,West,4501
3090, ,No, ,11560,41,75+,Post-graduate,13,Female,No,2,East,8972
3091, ,No, ,96840,44,75+,Some high school or less,11,Male,Yes,0,West,1658
3092, ,No, ,59880,37,25-49,Some college,13,Male,Yes,1,North,6209
3093, ,No, ,10440,40,25-49,College,14,Female,No,0,East,8553
3094, ,No, ,60140,52,<25,Some high school or less,11,Female,No,0,North,5034
3095, ,No, ,75410,35,<25,College,13,Female,No,0,South,3420
3096, ,Yes, ,93360,26,<25,Some college,6,Female,No,0,West,681
3097, ,No, ,11150,53,75+,Post-graduate,7,Female,Yes,2,East,8801
3098, ,No, ,75290,74,75+,High school,7,Female,Yes,0,South,2539
3099, ,No, ,60620,41,25-49,College,12,Female,Yes,0,North,5784
3100, ,No, ,12170,49,75+,Some college,8,Male,Yes,3,East,7566
3101, ,No, ,93190,45,75+,Some college,9,Female,Yes,2,West,638
3102, ,No, ,10000,39,75+,Post-graduate,8,Female,Yes,2,East,8381
3103, ,No, ,95020,47,75+,High school,12,Male,Yes,3,West,4430
3104, ,No, ,92600,46,50-74,Some high school or less,14,Male,No,1,West,4094
3105, ,No, ,75980,72,75+,Post-graduate,14,Male,Yes,0,South,3311
3106,No,No,Test,74550,50,25-49,College,12,Female,Yes,2,South,2352
3107, ,No, ,94890,39,25-49,High school,11,Female,No,0,West,1036
3108, ,No, ,74410,58,75+,College,9,Female,No,2,South,1797
3109, ,No, ,60450,46,75+,College,13,Male,Yes,0,North,6322
3110, ,No, ,61920,45,25-49,Some high school or less,9,Male,Yes,2,North,6669
3111, ,No, ,75680,26,<25,High school,8,Male,No,0,South,3923
3112, ,No, ,60080,32,50-74,Some high school or less,14,Male,No,0,North,6861
3113, ,Yes, ,96690,64,75+,Post-graduate,11,Female,Yes,2,West,1483
3114, ,No, ,09070,26,<25,Post-graduate,11,Female,No,0,East,8049
3115, ,No, ,10580,41,50-74,Some college,11,Female,Yes,2,East,8603
3116, ,No, ,92430,48,50-74,College,1,Female,No,2,West,479
3117, ,No, ,94490,35,25-49,High school,6,Male,Yes,1,West,198
3118, ,No, ,61540,59,75+,Some college,9,Female,Yes,2,North,6011
3119,No,No,Control,75480,52,50-74,Some college,9,Male,Yes,2,South,3178
3120, ,No, ,74170,47,50-74,Post-graduate,11,Female,No,1,South,1744
3121, ,No, ,75160,25,25-49,Some high school or less,15,Female,No,0,South,1964
3122, ,No, ,61950,33,<25,High school,11,Female,No,0,North,5455
3123, ,No, ,60190,60,75+,Post-graduate,15,Male,Yes,3,North,6269
3124, ,No, ,60610,43,25-49,Some high school or less,4,Female,Yes,2,North,5780
3125, ,No, ,59970,27,25-49,Some high school or less,10,Female,No,0,North,4989
3126, ,No, ,60560,54,75+,High school,12,Female,Yes,3,North,5775
3127, ,No, ,74870,52,75+,Some college,7,Female,Yes,2,South,2436
3128, ,No, ,60670,27,25-49,Some college,8,Female,No,1,North,5164
3129, ,No, ,75030,33,<25,Some college,6,Male,No,0,South,3751
3130, ,No, ,94060,32,25-49,Post-graduate,10,Male,No,0,West,161
3131, ,No, ,61550,29,<25,High school,8,Male,No,0,North,7225
3132, ,No, ,61430,54,25-49,High school,18,Female,Yes,2,North,5982
3133, ,No, ,75550,32,50-74,Post-graduate,4,Male,No,0,South,3894
3134, ,No, ,62210,47,50-74,High school,12,Male,No,0,North,5578
3135, ,No, ,59860,54,75+,High school,8,Male,No,0,North,6807
3136, ,No, ,60720,53,75+,Some high school or less,13,Male,Yes,2,North,6386
3137, ,No, ,61550,52,50-74,Post-graduate,6,Female,No,2,North,6787
3138, ,No, ,10840,47,25-49,Some college,10,Male,Yes,2,East,7819
3139, ,No, ,60520,29,50-74,Some college,7,Female,Yes,0,North,5766
3140, ,No, ,97370,51,75+,Some high school or less,8,Female,Yes,2,West,1639
3141, ,No, ,95370,52,25-49,Some high school or less,7,Female,Yes,2,West,1164
3142, ,No, ,95380,53,<25,Some college,10,Male,No,0,West,4465
3143, ,No, ,61790,54,75+,Some high school or less,8,Male,Yes,0,North,6639
3144, ,No, ,94370,45,25-49,College,11,Male,Yes,2,West,192
3145, ,No, ,75170,43,50-74,Some college,7,Male,No,0,South,3791
3146, ,No, ,96820,56,75+,High school,9,Female,Yes,3,West,1511
3147,No,No,Control,11430,53,50-74,Some high school or less,11,Male,No,1,East,9809
3148, ,No, ,75100,16,<25,College,11,Female,No,0,South,1957
3149, ,No, ,61720,26,50-74,Some high school or less,9,Female,No,0,North,6790
3150, ,No, ,09210,38,25-49,Post-graduate,8,Male,Yes,2,East,7613
3151, ,No, ,10900,41,50-74,Some high school or less,8,Male,Yes,3,East,7519
3152, ,No, ,94550,54,50-74,High school,10,Female,No,3,West,960
3153,No,No,Test,08930,60,75+,College,11,Female,No,1,East,8006
3154, ,No, ,93780,47,50-74,College,6,Male,Yes,2,West,4765
3155, ,No, ,61660,44,50-74,College,13,Male,Yes,2,North,6612
3156, ,No, ,60660,53,75+,Some high school or less,9,Female,No,2,North,5160
3157, ,No, ,09870,47,75+,Post-graduate,10,Female,Yes,2,East,8334
3158, ,No, ,94840,39,25-49,Post-graduate,9,Female,Yes,1,West,1017
3159, ,No, ,96530,57,75+,Some college,4,Male,No,0,West,4197
3160, ,No, ,75770,38,<25,Some college,13,Male,No,0,South,3955
3161, ,No, ,61510,64,50-74,Some college,11,Female,Yes,2,North,6003
3162, ,No, ,97420,40,25-49,Post-graduate,7,Female,No,1,West,1651
3163, ,No, ,76170,59,50-74,High school,2,Female,No,0,South,2204
3164, ,No, ,95540,52,25-49,Post-graduate,9,Male,Yes,2,West,4168
3165, ,No, ,92660,46,50-74,Some high school or less,11,Male,No,2,West,4245
3166, ,Yes, ,75050,48,25-49,Post-graduate,12,Female,Yes,2,South,2474
3167, ,No, ,74450,50,25-49,Some college,14,Male,Yes,0,South,2899
3168, ,No, ,94230,60,75+,High school,11,Female,Yes,2,West,881
3169,No,No,Test,61750,55,75+,Some high school or less,7,Male,Yes,3,North,6631
3170,No,No,Test,11620,38,75+,Some high school or less,10,Female,No,0,East,8992
3171, ,No, ,95860,44,50-74,Some high school or less,4,Female,No,1,West,1277
3172, ,No, ,59970,62,75+,College,4,Female,Yes,0,North,5634
3173, ,No, ,10240,15,<25,Some high school or less,14,Male,No,0,East,9599
3174, ,No, ,11410,42,50-74,Some high school or less,8,Female,No,1,East,8914
3175,No,No,Control,94800,35,25-49,Some high school or less,6,Female,No,0,West,1007
3176, ,No, ,10990,53,75+,Some high school or less,12,Male,Yes,2,East,9271
3177, ,No, ,10200,22,<25,Some college,1,Female,No,0,East,8462
3178, ,No, ,74290,31,<25,High school,12,Male,No,0,South,3531
3179,No,No,Control,93640,33,50-74,College,11,Female,No,2,West,754
3180, ,No, ,12190,39,25-49,High school,9,Female,No,1,East,9192
3181, ,No, ,96830,47,25-49,College,11,Male,Yes,2,West,416
3182, ,No, ,11320,31,<25,Some college,7,Male,No,0,East,9799
