,course_code,course_name,course_description
386,CIS 270,Computer Networking,"This course provides an introduction to business data communications and networking. The Internet and OSI models are discussed. Network technologies include local area networks, backbone, wide area networks, and the Internet. Introduction to network design, security, and network management are also provided."
387,CIS 300,Programming with Java,Students will learn the basic concepts of object-oriented programming as contrasted with traditionally structured programming and will develop applications using the Java programming language.
388,CIS 309,Data Structures & Cmptr Archit,"An introduction to linked lists, stacks, queues, trees, pointers, and sorting and searching algorithms. Students will learn the technical details of data storage and manipulation along with the concepts of program execution, and will use tools such as hex-editors and debuggers."
389,CIS 315,Integrated Business with SAP,"This course provides an introduction to enterprise resource planning (ERP) systems and addresses how integrated information systems improve business operations.  Students will learn about functional business areas and business processes, and understand the problems inherent in un-integrated enterprise information systems. Using SAP software and case studies, students will learn how ERP systems are being used to facilitate integrated, real-time management decision making."
390,CIS 319,Computer Forensics,"Students will use computers to obtain and analyze evidence found on storage devices such as those confiscated under warrant, and learn how to trace digital activities. Criminal and investigative procedures will be explored in depth."
391,CIS 320,Cloud Computing Administration,"Students will learn the process of creating or provisioning a cloud computing environment. Content will include the provisioning of operating system resources in a cloud environment, operating system installation, configuration and maintenance. Virtualization, the process of creating multiple operating system environments on a single piece of hardware will be covered in some detail. Troubleshooting problems in the virtualization environment and in the operating system environment will also be covered. Hands-on labs will be used throughout. Both Windows and Linux operating systems will be used."
392,CIS 325,User Experience Design,"This course focuses on the critical role user experience plays in today’s technology-driven business world. While technology advances make the design of functionality more readily in interactive products, usability plays a critical role in determining their success in the real world. Increasingly, business leaders realize the need to consider the emotional and social experiences as well as functional requirements and the steps users take to complete a task. This course explores User Experience Design (UXD), and its strategic importance in creating competitive advantage. Students will be able to discover, define, develop, and deliver a complete user experience. They will understand the role of usability and design principles, build innovative and pleasurable user experience prototypes, and validate them to achieve human, social, and business goals."
393,CIS 330,Database Systems,"This course involves the study of computer databases. Major topics include relational databases, use of the structured query language (SQL) to query relational databases, and design and maintenance of relational databases."
394,CIS 340,Electronic Commerce,"Students will learn about the most current e-commerce technologies and business models through readings, case studies, and hands-on projects.  Students will gain experience using business data analytics tools to understand and evaluate the value of data that is generated and collected from various e-commerce platforms on the Internet."
395,CIS 345,Enterprise Security,"This course introduces students to cybersecurity, the process of securing computers and the information they store. Coverage includes security attacks and attack prevention and mediation, security firewalls, PC and server security, authentication methods and procedures, and network security. Through lecture and hands-on labs students will learn how computer systems can be attacked and how computer professionals can manage the risks and potential damage from these attacks."
396,CIS 350,Practical Business Analytics with Excel and R,"This is a required course for the Business Analytics major/minor. This course will provide the student with an opportunity to gain proficiency in analyzing and visualizing data using both Excel and R. The learning experience includes not only classic data tools, such as PivotTables, VLOOKUP, and data visualization, but also more advanced data tools such as descriptive statistics, inferential statistics, predictive analytics using R, and optimization using Excel Solver."
397,CIS 360,Data Mining,"This course deals with modern technologies for data analysis. Hands-on exercises for data retrieval, data visualization and predictive analytics will be carried out using up-to-date methodologies and software tools. The full data mining life cycle will be covered from recognizing business problems and opportunities amenable to data mining analysis through deploying and monitoring solutions."
398,CIS 370,Systems Analysis and Design Project,"Topics include modeling techniques and methodologies to address the planning, analysis, design, and implementation of high quality systems, delivered on time and within budget. Using rapid application development tools, students will also construct an operational system within the span of a single semester. Issues and tools related to the management of project teams are also discussed."
399,CIS 375,Business Process Design for a Global Economy,"The course is aimed at generating a comprehensive understanding of the emergent domain of global business process outsourcing. Variously referred to as knowledge process outsourcing, IT-enabled services outsourcing, and business services outsourcing, the industry has seen enormous growth over the last decade and continues to grow. India commands the single largest share of this market but South Africa, Eastern Europe, Philippines, Morocco and Egypt have all emerged as other contenders in this global sector. The course is divided into four modules: the political economy of global outsourcing, process modeling, outsourcing management, and industry analysis. Please note: Students will not receive credit for both CIS 375 and GSC 375."
400,CIS 377,Risk Management and Compliance for Information Security,"This course will use a holistic approach to examine the management of information security risk in relation to the strategic goals of the business organization. Students taking this course will learn to identify threats, threat agents, potential exploits and the information assets which will be impacted by those exploits. The risk management process will specifically examine threat agents, and the amplifiers, catalysts, and inhibitors to those threats. Using a process which assigns a weight to various threats, and a comprehensive risk analysis model will be developed."
401,CIS 385,Management Information Systems,"This course will enhance students' digital dexterity and familiarity with existing and emerging information technologies, emphasizing skills of abstraction in relation to digital strategy and organizational change, innovation, analytics, and ethics. This course will also provide hands-on experience with at least one essential business technology. At the completion of the course, students will have an understanding of the business-related, policy, societal, and ethical implications associated with modern information systems."
402,CIS 388,Design Thinking,"This undergraduate course on Design Thinking provides students with a framework for dealing with unstructured problems to create innovative business solutions. Students in this course will learn about the complex and iterative process of design thinking and its several phases, including problem finding, observation, visualization and sense making, ideation, prototyping and testing, and explore the value of design thinking for creating business solutions with lasting impact. Students who have earned credits for CIS 388 or equivalent cannot take PMBA 8352 for credit."
403,CIS 390,Project Management,"This course introduces students to general project management, the process of organizing resources to achieve business goals. Topics include the identification, approval, analysis, and general management of complex business projects. Project management tools, reports, techniques, and approaches will be covered."
404,CIS 395,Ethical & Global Impacts of IT,"This course aims to help students realize the implications stemming from their use of technology as consumers, private citizens, and future employees, as well as those arising from the increasing use of data collection, automation, and artificial intelligence technologies by for-profit and governmental entities. Ethical, economic, social, political, and ecological impacts of technology are discussed."
405,CIS 399,The Co-Operative Experience,"The co-op program provides students with an opportunity to work full-time in a company and apply what they have learned in their computer information systems and other business classes. It also enhances students’ employment opportunities since many employers use a co-op program as a first step before they hire full-time employees. Eligible students include junior computer information systems majors with a minimum overall GPA of 3.0, and a minimum GPA of 3.0 in any computer information systems coursework completed prior to submission of the co-op application. Three of the co-op credits can be applied toward the computer information systems major, and three credits can be applied toward business or free elective requirements. Grading is on a pass/fail basis."
406,CIS 401,Artificial Intelligence for Business,"Artificial Intelligence (AI) is the broadest term used to classify machines that mimic human intelligence. It is used to predict, automate, and optimize tasks that humans have historically done, such as speech and facial recognition, decision-making, and translation (IBM.com). Undoubtedly, AI is one of the most transformative and disruptive technologies of our age, which has already had a direct impact on the value chain. Private investment in AI has significantly increased in recent years, more than doubling from $42.2 billion in 2020 to $93.5 billion in 2021 (AI Index report, 2022). A recent MIT paper predicts AI will cause significant innovations in the next ten years, creating many new jobs. However, there is currently a significant AI talent shortage in the U.S. and worldwide, and the AI skills gap is expected to widen in the future. Therefore, pursuing an AI/machine learning job is a solid choice specifically for recent university graduates to secure a high-paying position that will be in demand for decades. This course was designed for students within various disciplines, such as Information Systems, Business Analytics, Marketing, Finance, and Accounting, to learn the basics of Artificial Intelligence (AI) and how AI is applied to business. In addition, students learn how to work with SAS Viya, the SAS platform for AI and Machine Learning. This course could be the students' first yet most important step in preparing for the AI job market."
407,CIS 410,Selected Topics in Information Systems,"Information and communication technologies are evolving rapidly and continually. The Special Topics course facilitates the exploration of a selected topic (or combination of topics) that represents a recent technological advance with important and direct implications in the field of computer information systems. Current research, readings, lectures, discussions and/or hands-on computer experience or other appropriate measures will be employed to stimulate student learning."
408,CIS 430,Enterprise Integration,"The major focus of this course includes the forces driving enterprise integration as well as the management decisions associated with the design and implementation of enterprise systems. Students will use SAP ERP extensively to configure, build, test, and implement an enterprise system for a real business environment from the ground up."
409,CIS 490,Independent Study: Research and Creative Expression,Topic to be approved by professor and chairperson. Available for juniors and seniors. No more than 12 credits allowed toward graduation.
410,CIS 491,Computer Information Systems Internship,This is an honors course that provides the student with approximately two months of supervised employment with participating companies. Students are given a variety of information technology experiences. They are required to complete a term paper and/or to make an oral presentation to the faculty. Grading is on a pass/fail basis.
411,CSC 105,Fundamentals of Computer Science,"This course offers an introduction to fundamental areas of study in computer science - their applications, capabilities, and boundaries. Topics include computer organization, algorithms design and analysis, programming paradigms, software development process, operating systems
responsibilities, applications, and communications. Hands-on python programming is also introduced in this course from a non-mathematical problem-solving point of view. Basic programming constructs include statements, expressions, variables, control structures, functions,
and file operation."
412,CSC 110,Computer Science I,"This course is an introduction to computer science and modern computing fundamentals. Students will develop programs and algorithms to solve a variety of problems posed in the natural sciences. Students will learn to code in Python, a widely adopted language, and learn the basics of algorithms, data types, program structure and development,"
413,CSC 120,Computer Science II,"This course is an introduction to developing algorithms using abstract data types and the object-oriented methodology. Students will design and implement robust ADTs using Java, an object-oriented programming language.  Students will learn how to develop their own algorithms and the best techniques for analyzing their performance. Students will be able to adapt the course knowledge to real world, practical challenges."
414,CSC 130,Data Structures and Algorithms,"This course is a study of data structures and the algorithms used to process them. Topics include stacks, queues, lists, trees, graphs, sorting and searching techniques, recursive algorithms, and efficiency considerations. This course will give students a comprehensive study in data structures and algorithms which are the building blocks in programming."
415,CSC 140,Discrete Structures,"This course is an introduction to the ideas and techniques from discrete mathematics as widely applied to Computer Science. Topics include sets, numbers, algorithms, logic, combinatorics, recursion principles, graph theory, trees, and discrete probability."
416,CSC 150,Cyber Ethics and Societal Impact,"This course will investigate the ethical and social challenges stemming from computing and telecommunication technology, as well as from mobile information-enabling devices. Topics include: cyber ethics, global and societal impact of the Internet, ethical analysis tools, ethical dimensions of computer system reliability, professional ethics, ethical frontiers in emerging technologies, privacy, security, intellectual property, cybercrime, and civil liberties in cyberspace. CSC 150 is a required course for CSC majors and minors. This course will be open to other math and science majors."
417,CSC 200,Introduction to Software Engineering,"This course introduces software engineering ideas and concepts in the context of the software development life cycle. The course will discuss fundamental methodologies of software engineering, the Software Development Life Cycle (SDLC) and Unified Modeling Language (UML), which is a modeling language in the field of software engineering. It also concentrates on the five major phases of the SDLC: requirements engineering, requirements analysis, design, coding/implementation, and testing. Students will also learn about project management which is used for delivering high-quality software that satisfies customer needs and budgets.
Prerequisite(s): Sophomore or Junior Standing"
418,CSC 220,Computer Organization and Architecture,"An introduction to the fundamental concepts of computer organization and architecture, this course explores how computer systems execute programs and manipulate data, working from the C programming language down to the microprocessor. Topics include: processor organization, Assembly and C programming languages, machine-level code, data representation, digital logic gates and Boolean algebra, computer arithmetic, code compilation, memory organization and management, interrupts, and performance evaluation and optimization. CS 220 is a required course for CS majors."
419,CSC 230,Probability for Computer Science,"This course is an overview of probability theory and its application to computer science.  Students will develop an understanding of combinatorics, variables, distributions, and parameter estimation.  Applications to real world data and large datasets are also studied, with an introduction to machine learning."
420,CSC 240,Operating Systems,"The course will study the basic concepts, design and implementation of operating systems. Topics to be covered include an overview of basic computing hardware components, operating system structures, process management, memory management, concurrency, resource allocation and scheduling, file systems, input/output systems, protection and security. CS 240 is a required course for CS majors."
421,CSC 250,Software Security Engineering,"Secure software engineering focuses on both theoretical and practical perspectives in the development of software systems, exploring secure software design and development methods, software analysis, and reverse engineering. Emphasis is placed on security as part of the software engineering lifecycle, as well as on the correctness and robustness of code. CSC 250 is a required course for CS majors."
422,CSC 301,Software Requirements & Modeling,"This course is intended to introduce students with the techniques for eliciting requirements. . The course will consider the past, present and future standards and approaches in requirements engineering. This course will specifically focus on identifying and analyzing requirements for various types of systems: embedded systems, consumer systems, web-based systems, business systems, systems for scientists and other engineers. 
Prereq(s): CSC 200."
423,CSC 310,Theory of Computation,"This course introduces a formal framework for investigating both the computability and complexity of problems. Theoretical foundations of computer science and formal models of computation are covered. Students study several models of computation including finite automata, regular expressions, formal languages, Chomsky language hierarchy, context-free grammars and Turing machines. Topics include undecidable problems, the halting problem and the P versus NP problem."
424,CSC 320,Human-Computer Interaction,"This course presents Human-Computer Interaction (HCI) as a discipline that is concerned with technical advance, and that must integrate different disciplinary perspectives. Foundational theoretical issues deal with principles of human perception, visual representation and purposeful action, discussed in the context of novel interactive technologies and computer-based systems. It examines issues in the design of system interfaces from a number of perspectives: user, programmer, and designer."
425,CSC 340,Cybersecurity Essentials,"This course is an in-depth study of the theories and practices for prevention of cyber attacks. Countermeasures discussed include education, encryption, virtual private networks, policies, practices, access controls, secure systems development, software assurance, verification and validation, firewall architectures, anti-virus, patching practices, personnel security practices, and physical security practices. Topics also include incident response, forensic investigations, business continuity plans, disaster recovery plans, and critical infrastructure protection."
426,CSC 350,Analysis of Algorithms,"This course investigates methods for analyzing and designing efficient and reliable algorithms, emphasizing methods useful in practice. It introduces several algorithm design strategies that build on data structures and programming techniques learned in the introductory computer science course sequence. Topic coverage includes induction, divide-and-conquer, dynamic programming, network flow, randomization, complexity theory, greedy algorithms, searching and sorting algorithms, cryptographic algorithms, graph theory, hashing, and advanced data structures. CSC 350 is a required course for CS majors."
427,CSC 360,Concept of Artificial Intelligence,"This course offers an introduction to the basic principles, techniques, and applications of Artificial Intelligence. Topics to be covered include agent design, advanced search algorithms and heuristics, knowledge representation, logic, inference, game theory, advanced planning, and learning. Prereq(s): CSC 130 and CSC 230."
428,CSC 380,Parallel and Distributed Systems,"Widely deployed in scientific computing centers and commercial data centers, large-scale parallel and distributed systems (PDS) are crucial to scientific discovery, business success, national security, and technology innovation. This course examines the design and analysis of large scale computing systems for processor- and data-intensive applications with the focus on the technologies and factors that impact the performance, power, resilience, and scalability of modern parallel and distributed systems. Topics include the organization of multicore computers, parallel computer clusters, computing grids, supercomputers, client-server systems, and peer-to-peer systems; computer networks and network protocols; network security; multithreaded programming; and network programming."
429,CSC 390,Software Design & Construction,This course introduces students to software design methodologies and also equips them with the knowledge and skills necessary to design large-scale software and to improve the quality of end products. Design techniques and methodologies for improving the productivity of software development and the quality of software are introduced. The course explores fundamental design concepts and notations with emphasis on Unified Modeling Languages (UML) and design patterns.
430,CSC 400,Introduction to Machine Learning,"This course focuses on the fundamental concepts, theories, and algorithms for machine learning. The course briefly covers topics in supervised, unsupervised, reinforced, and deep learning including clustering, association, regression, neural network, support vector machines, Bayesian decision theory, decision trees, ensemble learning- the nearest neighbor algorithm and random forest."
431,CSC 410,Data Science and Big Data Analytics,"This course serves as an introduction to the interdisciplinary and emerging fields of data science and big data analytics. Students learn to combine tools and techniques from computer science, statistics, data visualization and the social sciences to solve problems using data. Central themes include: the data science and data analytics processes; advanced analytical theory and methods; tools for working with both big and small datasets, statistical modeling, and machine learning. Specific topics and tools include: data wrangling and munging, machine learning algorithms, statistical models, data visualization, NoSQL, Weka, RapidMiner, R, Python, Hadoop, and MapReduce."
432,CSC 420,"Software Testing, Verification, and Validation","This course discusses the concept software quality assurance and source code review. This course will help students understand the testing concepts and how they can easily apply the concepts to any software testing situation. This course presents the concepts and techniques for testing software and assuring its quality. Concepts that are taught as part of this course are software testing at the unit, module, subsystem, and system levels, automatic and manual techniques for generating and validating test data, the testing process, static vs. dynamic analysis, functional testing, web application testing, and reliability assessments."
433,CSC 430,Software Quality Assurance,"The course aims to teach the basics of quality management in software development projects. Students will learn the definitions of quality of software product and software process.
Students will learn about software quality assurance, software metrics and models in quality management, internal quality and external quality."
434,CSC 470,Special Topics in Artificial Intelligence,"This is an upper level undergraduate course that covers advanced topics in Artificial Intelligence. Topics vary from one offering to the other. Topics that may be discussed include: Artificial Intelligence/ Machine Learning for Cybersecurity, Computer Vision, Robotics and Automation, Game Theory, Planning and Acting in the real World, Deep Learning, Reinforcement Learning, Decision-making under uncertainty, Image Processing, and Natural Language for Communication."
435,CSC 490,Independent Research and Study,"Immerses the student in guided research. The student learns to organize material, use the literature, obtain reproducible data, and synthesize the results of the study. If possible, the student will publish the results or present them at a scientific meeting. Available to Junior or Senior students or Sophomores with permission of the department chair."
436,CSC 491,Internship in Computer Science,"A supervised research experience in an approved organization where qualified students gain real-world knowledge and utilize their academic training in a professional environment. Placement may be in private, public, non-profit, or governmental organizations under the guidance of a mentor. The mentor and student will have regular consultation with the departmental internship coordinator to assess the student’s progress. Normally, 50 hours of internship per credit is required. The grade for the course will be determined by the student’s overall performance in their research work, a research paper documenting their work with their internship mentor and an oral or poster presentation at the end of the semester. Available for juniors and seniors."
437,CR 001R,Student Recital,25 Minute Student Recital.
439,CR 109,Chapel Choir,"Comprised of undergraduate students in their first year of study, Chapel Choir focuses on music for men’s, women’s, and mixed chorus. The ensemble provides the fundamentals of artistic choral ensemble singing and a foundation for all Westminster choral ensembles. Placement hearing required."
440,CR 209,Schola Cantorum,"Comprised of undergraduate students in their second year of study, Schola Cantorum focuses on music for mixed chorus and continues to build and refine the skills developed in Chapel Choir.  This ensemble presents campus, community, and regional performances.  Placement hearing required."
441,CR 215,Fundamentals of Conducting,"This course provides the foundation of conducting technique and philosophy as it relates to choral ensemble. Primarily, it deals with the development of basic pedagogical proficiencies, specifically alignment, Laban gestural vocabulary, breathing, beat patterns, consistent tempo, and the development of expressive gesture for relaying various styles of music, i.e., legato, staccato and marcato. Basic philosophical understandings concerning the human aspects of the music making process and the role the conductor plays in that process also are emphasized. Specific techniques for dealing with technical elements, e.g., fermata, dynamics, changes of tempo, contrasts in style, also are covered. The overall focus of the course is to establish the important relationship between ear, body, and the choral sound."
442,CR 315,Techniques of Conducting,"Continued development of conducting technique with emphasis on more complex styles and patterns, and on communication through appropriate gestures. Further improvement in conducting various dynamics and articulations, as well as more effective use of the left hand. Rehearsal procedures, repertoire programming, score preparation, and baton techniques are incorporated into the course."
443,CR 490,Independent Study and Research,"Students may pursue a special topic for which they have prepared through prior course work.  Only one project may be scheduled in a semester.  The project may involve 1-4 credit hours. Students may count up to a maximum of 18 independent study hours toward graduation. Approval of the faculty sponsor, department chair, and dean required prior to the first day of the semester in which the project is to be completed.  Minimum cumulative GPA of 3.0 required."
444,CR 509,Symphonic Choir,"A large mixed chorus comprised of students above the lower division, including graduate students from all disciplines. The ensemble regularly performs in the region and focuses on the major choral/orchestral repertoire along with a wide variety of repertoire for large mixed chorus. Placement hearing required."
445,CR 511,Westminster Choir,"A highly select ensemble that performs and records a wide variety of choral repertoire, the Westminster Choir regularly tours nationally and internationally, and aspires to the highest professional standards. Members are selected by audition from all Westminster students above the freshman level. The requirements for selection include good academic standing, strong musicianship, and superior vocal talent. Auditions are held in the fall semester and students participate for the academic year."
446,CYB 105,Introduction to Cybersecurity,"Introduction to Cybersecurity introduces students to this interdisciplinary field by exploring the technology, policies, and processes that enable assured computer operations. Students will be introduced to recent developments in cybercrime such as phishing, ransomware, viruses, and worms. Students will also learn about the policy and legislation regarding privacy, terrorism,
hacktivism, and the dark web. Students will also be introduced to programming and networking concepts."
447,CYB 110,Cybercrime and Cyberterrorism,"This course explores the world of cybercrime and cyber terrorism.  Students will learn about the social and legal aspects of cybercrime and the technical tools that enable the investigation of these acts.  They will discuss and review several definitions and types of cybercrime, and the roles of private sectors and law enforcement in detecting, investigating and preventing these acts."
448,CYB 130,IT Fundamentals,"IT Fundamentals is designed to immerse students in the essentials of computer hardware and software. The IT Fundamentals course provides students with principles of data and technology that frame and define cybersecurity and insight into the importance of cybersecurity and the integral role of cybersecurity professionals. Students will explore foundational cybersecurity principles, security architecture, risk management, attacks, incidents, and emerging IT and IS technologies."
449,CYB 200,Operating Systems & Cybersecurity,"This course focuses on the fundamental properties of  three major operating systems (Linux, MacOS, and Windows). The course covers file systems, command line interfaces, and shell scripting.  Students will learn how to manage user groups while focusing on security.  They will also be introduced to SQL database architecture."
450,CYB 240,Ethical Hacking and Penetration Testing,This course introduces students to the methods of penetration testing and hacking as method of locating and successfully exploiting computer systems for the purpose of making computer systems more secure. This process includes probing for vulnerabilities as well as providing proof of concept attacks to demonstrate the vulnerabilities are real and generating specific and effective recommendations for addressing and fixing security issues discovered vulnerability assessments and penetration.
451,CYB 260,Network Defenses and Countermeasures,"This course in network defenses and countermeasures prepares students to defend networks against attacks by implementing proactive protection measures and by responding to active and potential threats. It covers multiple techniques for network defense, including firewalls, intrusion-detection systems, VPNs, encryption, and system hardening."
452,CYB 300,Developing & Deploying Cybersecurity Programs,"In Developing and Deploying Cybersecurity Programs, students will learn how to create cybersecurity policies, standards, guidelines and plans, and the differences between them. Students will learn how threats develop, and how threat actors launch attacks on their targets. The material in this course conforms to the NIST Cybersecurity Framework and the ISO/IEC 27000-series standards."
453,CYB 320,Cyber Forensics,"This course covers the technical and legal aspects of cyber forensics, including general forensic procedures, electronic discovery, imaging, hashing, file recovery, mismatched file types, and preserving the chain of evidence. Students will perform detailed cyber forensic analyses on compromised system images, using both open-source and court-approved digital forensic software tools to conduct forensic examinations, write analytical reports, and practice mock courtroom presentations."
454,CYB 490,Cybersecurity Independent Study and Research,"Immerses the student in guided research. The student learns to organize material, use the literature, obtain reproducible data, and synthesize the results of the study. If possible, the student will publish the results or present them at a scientific meeting."
455,CYB 491,Internship in Cybersecurity,"A supervised research experience in an approved organization where qualified students gain real-world knowledge and utilize their academic training in a professional environment. Placement may be in private, public, non-profit, or governmental organizations under the guidance of a mentor. The mentor and student will have regular consultation with the departmental internship coordinator to assess the student’s progress. Normally, 40 hours of internship per credit is required. The grade for the course will be determined by the student’s overall performance in their research work, a research paper documenting their work with their internship mentor and an oral or poster presentation at the end of the semester. Available for juniors and seniors."
456,DAN 100,Fundamentals of Dance,"Designed to offer students concurrent participation and theoretical inquiry in specific dance forms. Students must register for two classes per week at the Princeton Ballet School. One additional hour per week is comprised of video observation, lecture, or readings, and is taught at Rider’s Lawrenceville campus. 
Prerequisite(s): permission of dance advisor;
Dance Studio Courses
Ballet I."
481,DAN 100Y,Hip Hop,Fusion dance influenced by older street dance styles.
483,DAN 105,Survey of Dance History,"An introductory course to familiarize students with the breadth and depth of dance in human society. It will chronologically examine dance through four lenses: Dance and Community, Dance and Religion, Dance and Politics, and Dance as Art. Students will be exposed to various dance forms from around the world with varying purposes, functions, and motivations from the beginning of recorded history to present."
485,DAN 112,Ballet I: The Point of Departure,"This is an entry- level, mandatory ballet class that covers all of the safest fundamental practices, including proper use of alignment, feet, rotation, and use of the core in the classical vocabulary."
486,DAN 113,Ballet II: Next Steps,"This is a continuation of the safest fundamental practices covered in Ballet I, including proper use of alignment, feet, rotation, and use of the core in the classical vocabulary. In addition this course extends the coverage of discourse, terminology and vocabulary of the classical technique. DAN 113 may be repeated two times for a total of three credits."
487,DAN 121,Introduction to Dance Science,"This orientation to dance science will consider important aspects of the study of human performance including anatomy, biology, kinesiology, and psychology of movement and performance. Covered are the foundations and research findings in Movement Theory, Motor Development, and Well -Being. Topics include the Care and Prevention of Injuries, Movement Analysis, Dance Movement Therapy, Mind-body Connection, Dance Fitness and Optimal Performance."
490,DAN 180,History of Movement Theory,"Investigation of the mind-body connection, somatic experience, body therapies, movement, and theories. The essential question is: How is it that we move with awareness, fluidity, efficiency, and precision?."
491,DAN 190,Dalcroze Eurythmics,"This movement course familiarizes students with the basic elements of music theory (staff, clefs, time signatures, notations, chords, etc.) and the Dalcrozian principles regarding music, movement and improvisation."
492,DAN 201,Vaganova I,"This studio course focuses on fundamental knowledge about the vocabulary, discourse, performance and style of the classical ballet, especially as it pertains to the Vaganova Technique."
493,DAN 202,Vaganova II,"This studio course continues the development of knowledge concerning the vocabulary, discourse, performance and style of the classical ballet, expecially as it pertains to the Vaganova Technique.  Repeatable twice for total of three times taken.  May only be repeated if there are open spots after those taking it for the first time have registered."
494,DAN 210,Rider Dances: Repertory & Productions,"This course provides an in-depth experience with the art of dance production from creation to performance. Students will be chosen to learn and perform repertory; fulfill technical roles such as sound, lighting and costume design; and assume production and managerial responsibilities such as promotion, publicity, front of house management and stage management."
496,DAN 220,History of Choreography,"This course prepares the dance student for the creating of dance through critical analysis, reading, writing and practical assignments.  Students will examine creative process as applied to dance artists and various forms of dance."
497,DAN 300,Lecture & Studio in Dance,"Dance 300 series is also designed to offer students concurrent participation and theoretical inquiry in specific dance forms. Students must register for four classes per week at the Princeton Ballet School. One additional hour is comprised of video observation, lecture, or readings and is held at Rider’s Lawrenceville campus. 
Prerequisite(s): permission of instructor;
Dance Studio Courses
Ballet I."
524,DAN 350,"History of Ballet, Modern & Jazz Dance","Studies the major periods in the development of Western Theatrical Dance from the Renaissance to the present focusing on ballet, modern, jazz, tap and musical theater dance. The course will examine the ideas and individuals that caused the development of choreographers, producers, designers and productions."
525,DAN 450,Pedagogy and Methodology in Dance,"This course provides the student with first-hand experience inside a classroom setting to broaden the students’ understanding of dance techniques, teaching styles and strategies, analysis of skills and critical feedback, class preparation and design, and assessment. Course requirements include off-campus field work. Cross-listing existing entry-level teaching course with analogous graduate-level course (CURR 711)."
526,DAN 490,Independent Research and Study,"Students may pursue a special topic for which they have prepared through prior course work.  Only one project may be scheduled in a semester.  The project may involve 1-4 Credit hours. Approval of the faculty sponsor, department chair, and dean required prior to enrollment."
527,DAN 491,Internship in Dance,"Provides junior or senior dance majors with the practical experience of working within an educational or professional dance environment. Students must be sponsored by a dance professor. For each academic credit, interns must work 48 hours for the semester, or approximately 3.7 hours each week."
528,DAN 493,Special Topics in Dance Studio,"This class covers a discrete movement style, technique, or form such as the choreography of Balanchine, the technique of Cecchiti or dance theater fusion."
529,DAN 495,Selected Topics in Dance History,"Intensive study of a particular topic in dance history or theory. This may include one era, movement or nation’s dance history and practice. Students will become deeply involved in an area through research, class discussions and group projects."
531,DAN 499,Seniors Honor Program,"A senior honors program may be submitted in partial fulfillment of requirements for graduation with honors in fine arts. Honors work is limited to those departmental majors with a GPA of 3.5 in fine arts courses and cognates. The program, to be planned under the direction of a faculty advisor, will represent a culmination of demonstrated excellence in a specific area of fine arts. Candidates for honors in fine arts must be approved by the department chairperson and the faculty."
532,ECE 200,Infant and Toddler Care and Education,"Focuses on nutritional and psychological influences on infant and toddler growth and development, including current research in infant development; childbirth; breast feeding; infant stimulation; intellectual development; attachment behavior; and infants in group care. Recognizing that there is increased demand for infant/toddler care, it is increasingly important to assure that America’s infants receive a safe, healthy, emotionally secure, and intellectually rich start in life. High quality care and education of very young children are based upon responsive and respectful relationships among all of the people in each child’s life."
533,ECE 332,"Families, Community, and Diversity in Early Childhood Education","This course addresses the role of parents of young children within the context of school, home and society, as well as the influence of culture, traditions and current issues in early childhood education. Students will explore the efficacy of parenting techniques and behaviors on child development in the early years, including cognitive growth, emotional and social well-being and physical health. Students will investigate strategies for fostering home-school partnerships that enhance child development and educational success, as well as the influence of community, culture and socio-economic status on families and schools throughout our world. In addition, this course addresses current issues and challenges in the early childhood profession including inclusion of children with special needs, advocacy for quality care and education for all young children, and any other subject that might arise - either from the lives of children and families, teachers’ professional development, or community agencies. A cumulative GPA of 2.75 is required."
534,ECE 450,Developmental Methods and Assessment in Early Childhood Education,"The focus of this course is developmentally appropriate and culturally responsive curriculum and teaching P-3 settings as delineated in the guidelines of the National Association for the Education of Young Children. Students will learn how to make curriculum and teaching decisions based on knowledge of child development, content area, curriculum content standards, and home and community cultures. In order to meet the ever-changing needs, interests, and growing strengths of individual children, careful observation and assessment provides teachers with information on which to base adjustments of teaching plans. This course will provide opportunities to deepen understanding of child development; gain an appreciation for the professional responsibility of ongoing assessment of children; and, develop the necessary skills to gather, record, and interpret information in a deliberate and reflective manner. Required: 6 hours per week field placement in a Preschool classroom. A cumulative GPA of 2.75 is required."
535,ECO 200,Principles of Macroeconomics,"A collective view of income receiving and spending sectors of the national economy, including households, businesses, and governments. Issues discussed: What determines the level of output, income, and employment achieved by the economy? What determines the growth of national output and employment? National income accounting, income and employment theory, monetary system, general price level, business cycle, government policies designed to provide for full employment, price stability, and economic growth are also covered."
