Duration (in seconds),LocationLatitude,LocationLongitude,AW_1,AW_2,AW_3,AW_4,AW_5,ATT_1,ATT_2,ATT_3,USE_1,USE_2,USE_3,USE_4,USE_5,SE_1,SE_2,SE_3,PENJ_1,PENJ_2,PENJ_3,PENJ_4,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,EE_1,EE_2,EE_3,EE_4,PR_1,PR_2,PR_3,PR_4,SI_1,SI_2,SI_3,SI_4,FC_1,FC_2,FC_3,FC_4,BI_1,BI_2,BI_3,Age,Gender,Education,Field_Teaching,Text_Field,Experience,Open_ended
537,43.6426,-79.4002,4,4,4,4,4,2,2,2,1,2,1,1,2,5,3,5,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,4,3,4,4,5,5,5,4,4,3,3,1,4,2,,5,I’m not sure. I need to better understand and learn all the functionalities the generative AI can offer first before I can think of how to use these tools in the classroom. 
461,43.4051,-79.7214,5,5,5,5,4,4,3,3,3,3,1,3,4,5,5,5,4,3,4,3,4,3,2,1,1,3,5,4,4,5,3,1,2,4,3,3,3,3,5,1,5,5,2,3,3,2,1,4,2,,5,
272,40.8125,-74.2134,2,2,2,2,3,2,2,2,1,1,1,1,1,3,3,3,2,2,2,1,2,2,1,1,2,2,3,3,3,3,5,5,5,5,3,1,2,1,2,2,3,3,2,2,2,2,1,2,1,,5,
274,43.7306,-79.4217,5,5,4,4,5,4,4,4,3,4,4,2,5,5,4,5,5,5,5,5,4,4,4,2,4,4,5,4,5,4,2,2,2,5,3,4,3,3,4,2,4,4,5,4,4,2,1,4,2,,5,
1583,45.4153,-75.6894,4,4,2,2,3,4,4,4,2,2,3,2,2,2,2,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,2,4,4,4,2,1,4,2,,5,
337,43.879,-79.2638,2,2,1,2,3,3,3,4,1,1,1,1,1,2,2,2,2,2,3,2,4,4,4,3,1,3,3,3,2,2,3,4,4,5,4,4,3,3,1,1,3,1,3,4,3,1,2,4,2,,5,"Increase relevance, introduce students to methods they will use in other contexts (i.e. work)  "
334,43.6763,-79.485,5,4,4,3,4,5,5,5,5,2,2,1,3,5,3,5,5,4,4,5,5,5,3,2,3,4,4,3,4,2,1,1,1,1,3,4,3,3,1,1,4,3,5,5,5,3,1,4,2,,5,
260,43.6576,-79.3798,2,4,2,1,2,3,4,4,1,1,1,1,1,3,3,4,4,4,4,4,2,2,3,4,4,2,2,3,2,4,4,5,5,5,4,4,2,2,1,2,4,2,2,3,3,1,1,4,1,,4,
343,39.745,-75.0924,1,2,1,2,2,3,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,3,9,,5,
279,40.6568,-75.3912,4,4,4,4,4,5,5,5,3,4,1,1,4,4,4,4,4,4,4,5,5,3,2,2,2,4,3,4,2,2,2,2,2,4,3,3,1,1,2,2,2,2,4,4,4,2,2,4,2,,5,provides a framework for students to organize their thoughts and begin exploration of ideas.
348,34.1765,-118.614,4,4,2,3,3,3,4,3,2,2,2,2,3,4,3,3,2,2,2,2,3,4,4,4,4,4,2,2,2,2,4,4,4,5,1,1,1,2,4,4,3,4,2,2,2,2,2,4,5,,5,It might increase engagment
3501,34.2601,-118.5789,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,4,2,5,2,3,3,3,3,1,1,1,1,5,5,5,1,1,4,2,,4,"Generative AI enhances teaching and student engagement by personalizing learning, creating interactive content, and providing instant feedback. It adapts educational materials to individual needs, making learning more effective. Through simulations and games, it makes education engaging, while its capability for automated assessments frees up teachers' time and gives students immediate insights into their progress. This technology transforms education into a more customized, interactive, and efficient experience, benefiting both teachers and students."
402,37.7045,-122.0742,3,4,2,2,2,4,3,4,2,2,2,3,4,1,3,3,4,4,4,3,4,4,3,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,2,2,2,1,4,4,4,2,2,4,1,,5,
358,37.2125,-121.8641,4,4,3,3,4,2,2,4,2,1,1,1,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,2,1,1,2,4,4,4,2,1,4,5,,5,
486,34.2666,-118.7643,4,4,4,4,4,5,5,5,4,4,4,2,4,4,3,4,4,5,5,5,5,4,4,3,3,5,4,4,4,3,5,3,3,5,3,4,4,4,3,4,2,4,4,4,4,2,1,4,4,,5,"By showing them how the use of Gen AI is an iterative process but at the same time, making them aware that the domain knowledge is needed and it is not a silver bullet. It is a supporting tool."
423,40.839,-73.946,4,4,4,5,5,5,5,5,4,4,2,2,4,4,4,4,4,5,5,5,5,3,4,3,5,5,4,4,3,3,2,2,4,4,3,3,1,1,3,5,5,5,5,5,5,3,2,4,5,,5,Asking students to research and verify data found in AI generated work 
400,40.6998,-74.3191,5,4,4,3,5,4,5,5,4,5,4,3,4,4,4,5,5,5,4,5,5,5,5,4,4,5,4,4,4,2,4,1,4,4,4,4,4,5,3,2,3,3,5,5,5,3,1,3,2,,3,Question formulation technique
435,40.8905,-74.0504,4,4,4,5,5,3,3,3,2,2,2,2,2,5,5,5,3,4,3,3,2,3,1,1,1,4,5,5,5,5,3,3,5,5,1,1,1,1,5,4,5,4,2,2,1,3,1,4,1,,5,
272,40.6129,-74.416,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,3,4,3,1,1,1,1,1,2,1,3,2,4,2,,5,Not sure 
738,40.7938,-74.4878,5,5,5,5,5,4,4,4,3,5,3,2,4,5,4,5,4,5,5,4,4,5,4,2,4,4,5,5,5,5,5,1,2,3,4,2,4,4,4,4,4,4,5,5,5,3,2,4,2,,5,engenders a sense of play
531,41.182,-74.4552,1,3,1,1,4,3,3,3,1,1,1,1,1,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,5,3,4,4,3,3,3,3,4,4,3,3,3,4,3,3,2,4,5,,5,"I really don't know as I have not seen, used, or learned enough about AI tools to answer the question"
470,40.3699,-74.6381,3,4,2,2,4,4,4,3,1,1,3,3,1,2,4,4,4,3,2,3,2,3,2,3,3,2,3,4,3,3,3,4,4,5,3,3,2,3,3,3,3,3,4,4,3,1,2,4,8,,2,
628,40.7428,-73.9712,5,5,4,5,5,5,5,5,4,4,3,3,5,5,5,5,5,5,5,5,5,4,4,3,4,5,4,5,4,4,4,2,2,4,4,4,4,4,4,5,5,5,5,5,5,3,1,4,2,,5,"If directed properly, Gen AI tools will help students to focus on the specific tasks at hand. They are directed to “trust but verify” the product from AI, directing them to pay attention to the content and the context of the information generated by AI."
213,-27.401,-51.2258,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,7,,4,none
524,40.3699,-74.6381,5,5,5,5,5,5,4,5,2,3,5,2,4,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,5,4,4,5,4,5,3,5,4,3,4,3,4,4,5,5,5,2,1,4,10,Neuroscience ,5,my course discuss whether we can use generative AI as a cognitiv emodel for the neural basis of language processing in the human brain 
505,41.3932,-73.9773,2,2,1,4,1,4,4,4,1,1,1,1,2,5,2,1,2,4,3,3,4,3,4,3,3,4,1,1,2,2,4,5,4,5,3,3,4,4,5,4,4,5,2,2,2,3,1,4,8,,5,The jury is still out.
165,40.7938,-74.4878,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,1,3,4,1,1,1,1,1,1,1,2,2,4,5,,5,I think it is a hinderance
728,40.3699,-74.6381,4,3,4,4,3,2,2,2,1,1,5,1,1,3,4,3,1,3,3,1,1,2,5,1,1,1,3,3,3,3,1,4,3,5,3,1,2,5,4,3,5,5,5,5,5,4,1,4,4,,5,Except in specific applications such as automated vehicles they have no role 
251,42.8416,-84.5817,4,4,3,3,5,2,2,2,1,2,1,1,3,2,2,2,2,2,2,2,2,3,2,2,2,4,1,1,1,1,5,5,5,5,4,3,4,4,2,1,3,1,2,3,3,2,2,2,2,,5,"We are planning to use AI for a case that we are writing with Breakout Learning, a new higher education company focused on cases and AI."
369,34.236,-118.5235,4,4,4,4,4,4,3,3,1,1,1,1,1,4,4,4,3,3,3,3,2,2,2,2,2,2,4,4,4,4,2,2,4,4,3,3,3,3,3,3,4,4,2,2,2,2,1,4,4,,5,"I don't think it would, given the nature of how I teach"
310,34.2366,-118.526,4,4,4,4,4,2,2,2,1,1,1,1,2,4,4,4,3,4,3,2,2,2,1,1,2,2,3,3,3,2,3,4,4,5,3,3,2,3,5,4,5,5,2,2,2,2,1,4,7,,5,
433,43.6836,-79.3732,4,4,3,3,3,4,4,4,2,3,2,4,4,4,3,4,4,4,4,4,4,3,4,3,1,3,4,4,4,3,1,1,5,4,4,4,3,3,3,3,4,3,4,4,4,2,1,4,2,,5,"Still a bit unclear on this, but for sure in the research of topics. "
332,40.7424,-74.0325,5,4,4,4,4,2,2,2,2,2,2,2,3,5,4,4,3,4,2,2,2,2,2,2,2,2,3,3,3,2,4,4,5,5,2,3,3,2,2,2,4,1,3,4,3,3,2,3,9,,5,Uncertain. Currently exploring this issue.
255,42.312,-71.1081,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,5,3,1,3,1,3,3,5,3,1,1,1,3,1,4,1,,5,"It couldn't. The whole point is reading, thinking, writing. You might as well ask a robot to do exercise for you to help you get in shape. "
612,42.366,-71.2271,4,3,4,3,3,4,5,5,1,1,2,1,1,4,4,4,3,4,3,5,4,4,5,5,4,5,3,4,3,1,5,3,5,5,3,3,3,3,2,1,1,1,5,5,5,2,1,4,2,,5,
236,37.7506,-122.4121,5,5,4,4,5,4,5,5,4,3,3,3,3,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,3,4,4,4,4,3,4,4,4,4,4,4,4,1,1,4,8,,2,I don't think GenAI will help with student *engagement* in the classroom specifically. 
396,42.2917,-71.7858,5,5,3,4,4,5,5,5,4,4,5,4,5,4,3,4,4,5,5,5,4,5,5,4,3,5,4,3,3,2,2,2,1,4,3,2,4,4,1,1,1,1,5,5,5,3,2,4,2,,5,i don't think it is good for engagement. It is not how I would use it. 
13398,40.7476,-74.2599,4,4,2,3,4,3,3,1,2,1,2,4,3,4,4,3,3,3,3,1,4,2,3,4,2,3,3,3,3,4,4,5,5,5,3,3,3,1,4,3,3,3,4,4,4,1,1,4,7,,2,
221,43.0475,-87.8964,5,5,5,5,5,4,4,4,2,2,2,1,2,5,5,5,3,3,3,3,4,3,3,1,2,2,5,5,5,5,5,5,5,5,3,3,2,3,5,4,5,5,4,4,4,2,1,4,4,,5,
239,42.2821,-71.8262,5,5,5,5,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,5,5,1,5,5,3,3,3,3,1,1,1,3,1,4,1,,5,"It is already corrupting my students morally and destroying their ability to think and writing critically.  (This is a bogus question, the way you have framed it.  Kind of like, ""When did you stop beating your wife?"")"
398,43.0421,-87.936,4,4,2,3,4,3,4,4,3,2,3,1,3,4,4,4,4,4,4,4,3,3,3,2,1,3,4,4,4,2,4,2,2,4,2,1,2,2,2,2,4,2,4,4,4,2,2,2,7,,5,
316,43.0421,-87.936,4,4,4,4,4,3,3,3,1,3,1,1,1,4,3,3,3,3,3,3,2,4,2,3,2,3,3,4,3,3,4,5,3,5,3,3,3,3,4,3,4,4,4,4,4,1,1,4,7,,4,"I think it is important students learn to use them, to learn the advantages and consequences of them. They are here. We at the very least must understand them."
790,39.7513,-74.9999,4,4,3,4,4,4,4,4,3,2,2,2,3,5,4,5,4,4,4,4,3,3,4,3,3,4,4,4,4,2,5,4,5,5,3,4,4,4,2,2,3,2,4,5,4,1,2,4,2,,3,AI tools can be used to create different communication modalities in the classroom. New and diverse examples can be generated by using AI tools. 
391,42.2821,-71.8262,4,4,2,1,4,5,5,5,2,4,3,1,1,1,2,4,4,4,4,3,3,4,4,3,2,2,2,2,2,2,5,4,5,5,2,4,3,2,1,1,3,1,4,4,4,2,2,4,7,,5,I think it can provide more time to do active learning in the classroom
343,42.2555,-71.7719,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,4,4,3,3,4,3,5,5,2,5,5,5,5,5,1,2,2,5,3,1,3,1,5,1,5,5,4,4,4,1,2,4,7,,3,I have never used AI to teach my courses. I mainly use it for research and writing. I have not clue how I would use it in the classroom for teaching. 
551,43.2642,-79.9143,4,3,4,2,4,3,4,3,2,3,3,1,3,5,5,5,3,4,3,3,2,2,3,3,3,2,4,4,4,4,5,2,4,5,2,2,3,3,3,3,3,4,4,4,4,1,1,4,4,,2,"Make them critically think. e.g., do you agree with Chat-GPT given this prompt"
377,42.2705,-71.8447,4,4,4,5,4,3,3,3,1,1,1,1,1,4,3,3,2,3,3,2,2,3,1,3,1,1,5,5,4,4,5,4,3,5,3,3,3,1,1,1,3,3,3,3,3,2,2,2,1,,5,I don't think it is necessary-my students come to my classes to avoid digital engagement.
1232,34.0634,-118.4667,3,4,2,3,4,4,4,4,2,2,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,4,3,2,2,2,4,4,4,3,2,2,4,,5,"Our students DESERVE & DEMAND the latest technology to be used in the course of their education!Gen AI is another and may be the most amazing tool since the start and use of the Web in education, and as such should be utilized to better the nature of teaching and student's learning patterns and involvement. It is NOT the end but it is another mean to be used in ones tool box. THE PROFESSOR should sremain to be the HUMAN GUIDE and the MENTOR and NOT the AI tool ! One MUST make sure of that! "
263,40.289,-74.0099,4,4,4,3,5,4,2,4,1,1,1,1,1,3,2,1,1,2,2,2,4,4,3,3,3,3,3,3,3,3,5,5,5,5,3,3,2,2,2,2,2,3,1,1,1,1,1,4,4,,1,It will not
381,40.251,-74.0504,4,5,5,5,5,2,2,2,1,3,3,1,3,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,4,4,4,4,1,1,1,1,4,4,4,2,2,4,1,,5,I notice a lot of interest in discussing AI but to be honest the tool themselves aren't as useful as I thought at the beginning. The tools are not research tools. They are generative tools. They generate information that quite often is not correct. This presents so many issues one of which is quality control which is time consuming.
514,40.2152,-74.7471,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,4,5,4,5,3,3,2,2,3,4,4,4,3,4,4,5,5,5,1,1,4,3,,4,"In my world of training future clinicians, there’s a heavy emphasis on helping graduate student to full understand how they can create individualized materials that directly connect to the learning objectives of the client. So, for example, utilizing a photo generating AI software allows for clinicians to be able to create specific visual scenes that could be utilized for meaningful talking points. Now, you don’t have to play the game of searching on Google for some thing that comes close to your idea. Now, your idea is able to come to life in the blink of an eye. And that is so clinically exciting!"
375,40.251,-74.0504,4,4,2,4,5,4,2,2,2,1,1,1,2,5,4,4,1,3,4,2,3,3,3,1,1,3,3,3,2,3,2,4,5,5,2,1,2,1,3,1,3,4,4,4,3,1,2,4,5,,5,They like playing with them- critically analyzing the results has been interesting to them
425,40.2993,-73.9891,3,2,3,2,2,4,3,4,3,1,3,2,4,1,1,4,3,4,3,3,4,4,3,3,3,4,3,3,3,5,4,3,4,5,2,2,1,2,2,1,3,3,3,4,4,5,1,2,2,,4,
392,40.7619,-74.4185,4,4,3,3,4,4,4,3,2,2,3,2,4,2,2,2,3,5,4,5,4,4,5,4,4,5,2,2,3,1,5,5,5,5,1,2,2,3,4,2,2,2,4,4,4,3,1,2,2,,5,Simply by being more accurate in my research and the ability to do more research in a shorter amount of time
266,37.3177,-122.0438,5,5,5,4,5,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,2,3,3,2,3,2,2,2,5,5,5,2,1,4,2,,4,make it more interesting 
311,34.4802,-117.4093,4,5,5,5,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,4,5,1,1,5,3,3,3,3,4,3,4,4,5,5,5,2,2,4,5,,5,I think when students are guided on how to use and to what extent it will help.  Many fear it is  plagarisim and that is because we faculty haven’t quite figured it out yet.  AI is not going anywhere and we need to learn to embrace it and not look at it as a negative.
3208,37.2599,-121.9171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,42.2821,-71.8262,2,2,3,2,4,2,2,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,1,2,2,2,4,4,3,4,5,1,1,4,1,3,3,3,3,2,2,2,3,1,4,7,,5,"They may find certain information more quickly. I worry about the introduction of AI into the wide world, including academia, without any meaningful social discussion, trtansparency, or regulation. The results could be terrible for students, faculty, and society in general."
382,40.266,-74.5217,4,4,4,3,5,3,2,3,3,2,2,2,3,3,2,4,4,5,5,3,2,2,1,1,1,1,4,4,4,3,3,5,5,5,1,1,1,1,1,1,2,4,5,5,5,2,2,4,1,,5,I think it can add to the creativity of content and activities.
295,40.3014,-74.0705,5,5,4,4,5,5,5,5,4,4,2,2,4,4,4,5,5,5,5,5,4,4,5,3,4,5,4,4,4,2,4,2,2,5,4,5,4,5,1,2,1,2,4,5,5,1,2,4,3,,5,
302,40.7869,-74.2535,4,4,3,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,3,4,4,3,3,3,3,3,4,4,4,3,1,2,2,,4,experientially
445,40.8,-73.9763,3,4,2,4,4,2,1,1,1,1,1,1,1,4,3,4,3,2,1,1,2,1,1,2,1,1,1,3,1,1,3,4,5,5,3,3,4,3,4,3,3,4,1,1,1,3,2,3,10,Business & Society,5,"I have no ideas on the topic. To the extent I think about it, my guess is that using them would hurt student engagement."
410,39.946,-74.1581,1,3,2,1,4,3,3,3,1,1,1,1,1,4,4,4,3,3,3,2,3,3,3,3,3,3,1,3,3,3,5,5,5,5,3,3,3,3,3,3,2,2,3,2,2,3,2,4,3,,5,I have no idea. I just worry about personal security.
753,40.7099,-73.9591,4,2,1,5,2,2,1,1,1,1,1,1,3,5,2,4,2,2,4,2,4,2,5,3,2,2,4,4,4,4,2,5,5,5,2,3,3,3,4,4,5,5,2,2,1,1,1,4,7,,1,"I think it could be useful for developing new examples of established content, but I don't believe it can be used to generate truly novel or innovative teaching materials given that it only reifies whatever it was trained on"
291,40.852,-74.2842,4,4,4,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,3,4,4,4,4,3,3,4,4,3,3,3,3,2,2,4,3,3,5,5,5,2,2,4,1,,5,"I already use them in my writing program. Im using them to teach students what things ""do."" Rather than teaching how to ""say"" something. Im taking a Foucauldian approach. "
315,41.744,-74.1067,4,4,3,4,4,4,5,5,3,3,3,3,2,5,4,5,4,5,5,5,5,5,4,4,3,5,4,5,5,4,3,5,2,5,3,3,3,3,3,4,5,3,5,5,5,1,1,4,2,,3,"Generative AI skills are relevant to my Marketing students, so I am updating assignments to include components involving generative AI tools."
306,40.0351,-74.1107,5,5,4,5,5,4,3,4,2,3,1,2,4,3,4,4,4,5,5,2,4,4,3,2,2,3,5,5,5,5,5,5,5,5,3,3,1,4,2,1,4,1,4,4,4,1,3,2,1,,3,Relatable
106,40.7359,-73.9904,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,1,1,1,2,,1,
163,40.7359,-73.9904,3,4,2,3,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,3,3,4,3,4,4,4,4,3,4,3,3,4,4,4,4,4,1,2,1,2,,6,
218,40.7359,-73.9904,3,3,3,3,3,4,4,4,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,5,11,,1,I'm not sure
223,40.7359,-73.9904,4,4,3,4,4,4,4,4,3,1,3,1,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,1,1,4,1,4,4,3,3,3,1,2,5,2,,1,
226,40.7359,-73.9904,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,2,2,4,1,1,5,2,,1,
223,40.7359,-73.9904,4,4,3,4,5,3,3,1,3,3,3,3,3,2,2,2,2,1,1,1,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,5,11,,6,
226,40.7359,-73.9904,4,4,2,2,2,4,4,4,2,1,3,1,2,3,3,3,2,2,3,3,4,2,3,3,2,2,2,4,3,3,4,4,4,4,4,4,1,1,2,4,2,3,3,4,3,1,2,1,2,,1,
289,40.7359,-73.9904,1,4,1,1,3,4,3,4,1,1,1,1,1,3,3,3,3,4,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,4,2,2,3,2,2,2,3,3,2,1,1,1,2,,1,Could be useful to generate new ideas
338,40.7359,-73.9904,4,4,3,3,4,3,4,3,3,3,3,2,3,4,3,4,3,4,3,3,4,2,3,3,3,3,3,4,3,3,4,4,4,4,4,3,2,3,3,2,4,4,3,3,3,1,2,1,2,,1,Maybe
379,40.7359,-73.9904,4,4,3,3,3,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,2,1,1,1,5,5,5,5,3,1,3,2,5,5,5,1,2,5,7,,1,maximize education like notetaking
406,40.7961,-73.9513,1,2,1,1,1,3,4,4,1,1,1,1,1,1,1,1,3,4,3,4,3,2,3,3,3,3,3,3,3,2,1,1,2,3,2,3,4,3,2,2,,3,4,5,5,2,1,4,10,Social Impact,4,Not sure...
418,40.7359,-73.9904,4,5,4,5,5,5,4,4,1,1,1,1,4,4,4,5,3,3,4,3,3,3,4,3,3,3,4,5,4,4,1,1,4,5,3,3,1,4,4,1,5,5,5,5,5,5,4,5,2,,2,
442,40.7359,-73.9904,4,5,3,2,4,4,4,3,4,3,2,3,3,4,1,4,3,4,3,3,4,3,3,4,2,4,4,4,4,5,4,5,4,5,4,3,2,3,2,1,4,2,4,3,3,1,1,5,2,,6,
438,40.7359,-73.9904,4,4,3,4,3,5,4,5,1,1,4,2,4,4,4,5,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,5,4,4,2,2,2,2,4,4,4,1,2,1,2,,1,I think generative AI allows us to build on the world's collective knowledge and forgo barriers such as dense text or lack of proper explanations and the time it would take to find them
471,40.3292,-74.5691,4,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,1,2,2,3,5,1,5,3,1,2,3,5,5,5,1,1,5,2,,6,I think that it promotes the development of writing skills and the helps to improve the quality of work overall.
298,40.3592,-74.0634,4,4,4,4,4,4,4,5,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,5,5,1,5,3,3,5,3,4,4,3,4,1,4,4,5,5,5,1,1,4,2,,5,
513,40.7359,-73.9904,4,4,3,3,4,3,3,3,1,1,1,1,2,3,3,4,3,4,4,3,3,4,1,1,1,4,3,3,3,3,5,3,2,3,3,3,4,3,4,4,4,4,4,4,4,2,1,4,2,,5,"Students are interested in it, so effectively incorporating and embracing it generates engagement as we are all still learning how to integrate it into what we do."
1183,41.0817,-74.1863,2,1,1,4,4,4,3,4,1,1,1,1,1,4,3,4,3,4,3,4,4,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,4,3,4,2,4,4,4,4,4,2,2,4,7,,5,I think AI could be useful in generating discussion questions. 
1070,40.289,-74.0099,4,4,3,2,3,4,4,3,2,1,1,1,1,2,2,2,1,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,2,2,2,5,,3,
278,40.7359,-73.9904,4,3,4,2,4,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,1,3,1,1,2,3,4,2,2,5,5,5,5,4,4,4,3,3,3,4,2,4,4,4,1,1,4,7,,4,"I think it won't at all; over time, I think it's basically game-over for undergraduate education as we know it."
311,43.4437,-79.7564,4,4,4,2,5,3,4,4,1,1,2,1,1,4,2,4,3,5,4,4,4,4,3,3,2,1,2,3,2,2,1,3,4,5,3,3,2,4,1,1,4,2,3,4,4,2,2,4,2,,5,Yes
332,43.4437,-79.7564,4,3,3,2,4,3,2,2,1,1,1,2,1,1,2,4,2,3,2,2,3,4,4,4,2,2,3,3,3,2,2,4,4,4,1,2,1,1,4,2,3,4,4,4,4,2,1,4,2,,5,"As it relates to assignments, I think there may be a role for students to use AI as a tool to generate and refine interesting solutions.  But it would need to have strong guide rails and clear learning objectives as it relates to how ai was used by a student in preparing an assignment. "
339,41.3948,-73.3214,2,2,2,4,2,2,2,2,2,4,4,2,2,3,2,2,3,4,3,3,2,4,3,3,2,3,4,3,3,3,5,4,4,4,3,3,2,4,1,1,1,1,3,4,4,2,1,2,2,,3,
1238,40.488,-74.4544,4,4,2,2,4,4,4,2,3,3,1,1,4,5,5,4,3,4,5,3,4,4,1,1,1,4,4,4,3,2,1,2,2,4,2,2,2,2,2,4,4,4,4,4,4,3,2,2,7,,5,Be more prepared for discussions. (I teach 100% asynchronous online courses.) 
384,40.4172,-3.684,4,4,4,4,3,4,4,4,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,2,2,2,2,3,3,4,3,4,4,4,3,1,4,2,,5,
559,-41.314,173.2367,5,5,4,5,4,3,2,2,2,3,3,1,3,4,4,3,3,2,2,1,2,2,3,1,1,1,4,4,4,4,5,3,4,5,3,1,2,1,5,3,4,5,2,2,3,2,4,2,4,,5,
411,43.6514,-79.3851,5,4,3,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,3,2,3,4,4,2,2,2,3,3,2,2,4,4,2,4,2,2,4,4,4,4,4,3,1,4,2,,5,Asking them to use the tools in specific ways that link to my targeted learning outcomes 
778,40.6412,-74.9094,4,1,2,1,4,2,2,3,1,1,1,4,1,2,3,4,3,2,3,2,3,3,3,2,3,3,2,4,2,3,3,4,4,4,1,1,3,2,3,4,3,4,2,4,3,3,2,4,5,,5,The developmental stage of students in my class may facilitate themgetting more excited about learning with the use ofAI tools
458,39.7505,-75.3323,3,2,1,1,2,3,3,3,1,1,1,1,1,3,3,3,,4,3,3,4,4,4,4,4,4,2,2,2,2,4,5,4,4,3,3,3,3,2,1,1,2,4,4,4,2,2,4,2,,5,I think students are going to have to use AI tools in the workplace so it makes sense to start incorporating their use in the classroom to properly prepare our students for the careers they are entering. 
560,40.7021,-74.4049,5,5,5,4,4,4,5,5,3,3,4,3,4,5,4,5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,2,2,3,3,3,3,4,4,4,4,5,5,5,3,1,2,2,,5,I believe that allowing students to use AI to prepare for class and then have them interact in class on a specific case study that will not be reviewed before hand. 
416,40.7869,-74.2535,2,2,2,2,5,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,5,5,5,5,5,1,1,1,1,2,3,3,3,1,1,1,2,2,4,1,,5,No. I have no interest in using Generative AI in my English classroom.
